id,abstract
117343974,活着 新版 讲述 了 农村 人福贵 悲惨 的 人生 遭遇 福贵本 是 个 阔少爷 可 他 嗜 赌 如命 终于 赌光 了 家业 一贫如洗 他 的 父亲 被 他 活活 气死 母亲 则 在 穷困 中患 了 重病 福贵 前去 求药 却 在 途中 被 国民党 抓去 当 壮丁 经过 几番 波折 回到 家里 才 知道 母亲 早已 去世 妻子 家珍 含辛茹苦 地养 大 两个 儿女 此后 更加 悲惨 的 命运 一次 又 一次 降临到 福贵 身上 他 的 妻子儿女 和 孙子 相继 死去 最后 只 剩福贵 和 一头 老牛 相依为命 但 老人 依旧 活着 仿佛 比 往日 更加 洒脱 与 坚强 活着 新版 荣获 意大利 格林 扎纳 • 卡佛 文学奖 最高 奖项 1998 年 台湾 中国时报 10 本 好书 奖 1994 年 香港 博益 15 本 好书 奖 1994 年 第三届 世界 华文 冰心 文学奖 2002 年 入选 香港 亚洲 周刊 评选 的 20 世纪 中文 小说 百年 百强 中国 百位 批评家 和 文学 编辑 评选 的 20 世纪 90 年代 最有 影响 的 10 部 作品 
117344559,围城 是 钱钟书 所著 的 长篇小说 第一版 于 1947 年 由 上海 晨光 出版 公司 出版 1949 年 之后 由于 政治 等 方面 的 原因 本书 长期 无法 在 中国 大陆 和 台湾 重印 仅 在 香港 出现 过 盗印 本 1980 年 由 作者 重新 修订 之后 在 中国 大陆 地区 由 人民文学出版社 刊印 此后 作者 又 曾 小幅 修改 过 几次 围城 自从 出版 以来 就 受到 许多 人 的 推崇 由于 1949 年 后 长期 无法 重印 这 本书 逐渐 淡出 人们 的 视野 1960 年代 旅美 汉学家 夏志清 在 中国 现代 小说史 AHistoryofModernChineseFiction 中 对 本书 作出 很 高 的 评价 这才 重新 引起 人们 对 它 的 关注 人们 对 它 的 评价 一般 集中 在 两 方面 幽默 的 语言 和 对 生活 深刻 的 观察 从 1990 年代 开始 也 有人 提出 对 本书 的 不同 看法 认为 这是 一部 被 拔高 的 小说 并 不是 一部 出色 的 作品 很多 人 认为 这是 一部 幽默 作品 除了 各具特色 的 人物 语言 之外 作者 夹 叙 其间 的 文字 也 显着 机智 与 幽默 这是 本书 的 一大 特色 也 有人 认为 这是 作者 卖弄 文字 语言 显得 尖酸刻薄 但 这 一 说法 并 不 为 大多数 人 接受 
117345020,平凡 的 世界 是 一部 现实主义 小说 也 是 一部 小说 形式 的 家族史 作者 浓缩 了 中国 西北 农村 的 历史 变迁 过程 在 小说 中 全景式 地 表现 了 中国 当代 城乡 的 社会 生活 在 近十年 的 广阔 背景 下 通过 复杂 的 矛盾 纠葛 刻划 社会 各阶层 众多 普通人 的 形象 劳动 与 爱情 挫折 与 追求 痛苦 与 欢乐 日常生活 与 巨大 社会 冲突 纷繁 地 交织 在 一起 深刻 地 展示 了 普通人 在 大 时代 历史进程 中 所 走过 的 艰难曲折 的 道路 
117345733,红楼梦 是 一部 百科全书式 的 长篇小说 以宝 黛 爱情 悲剧 为主 线以 四大家族 的 荣辱兴衰 为 背景 描绘出 18 世纪 中国 封建社会 的 方方面面 以及 封建 专制 下 新兴 资本主义 民主思想 的 萌动 结构 宏大 情节 委婉 细节 精致 人物形象 栩栩如生 声口 毕现 堪称 中国 古代 小说 中 的 经典 由 红楼梦 研究所 校注 人民文学出版社 出版 的 红楼梦 以 庚辰 1760 本 脂砚斋 重评 石头记 为 底本 以 甲戌 1754 本 已卯 1759 本 蒙古 王府 本戚 蓼 生序 本 舒元炜序 本 郑振铎 藏本 红楼梦 稿本 列宁格勒 藏本 俄藏 本程 甲本程 乙本 等 众多 版本 为 参 校本 是 一个 博采众长 非常适合 大众 阅读 的 本子 同时 对 底本 的 重要 修改 皆 出校 记 读者 可因 以 了解 红楼梦 的 不同 版本 状况 红学 所 的 校注 本 已 印行 二十五年 其间 1994 年 曾 做 过 一次 修订 又 十几年 过去 2008 年 推出 修订 第三版 体现 了 新 的 校注 成果 和 科研成果 关于 红楼梦 的 作者 原本 就 有 多种 说法 及 推想 前 八十回 曹雪芹 著后 四十回 高鹗 续 的 说法 只是 其中 之一 这次 修订 中 校注 者 改为 前 八十回 曹雪芹 著后 四十回 无名氏 续程 伟元 高鹗 整理 应当 是 一种 更 科学 的 表述 体现 了 校注 者 对 这 一 问题 的 新 的 认识 现在 这个 修订 后 的 红楼梦 是 更加 完善 
117350368,骆驼 祥子 是 老舍 用 同情 的 笔触 描绘 的 一幕 悲剧 二十年代 的 北京 一个 勤劳 壮实 的 底层 社会 小人物 怀着 发家 奋斗 的 美好 梦想 却 最终 为 黑暗 的 暴风雨 所 吞噬 它 揭示 了 当时 小人物 的 奴隶 心理 和 希望 的 最终 破灭 随着 祥子 心爱 的 女人 小福子 的 自杀 祥子 熄灭 了 个人 奋斗 的 最后 一朵 火花 这 是 旧 中国 老 北京 贫苦 市民 的 典型 命运 
117350875,边城 是 沈从文 的 代表作 写于 一九三三年 至 一九三四年 初 这篇 作品 如 沈从文 的 其他 湘西 作品 着眼于 普通人 善良 人 的 命运 变迁 描摹 了 湘 女翠翠 阴差阳错 的 生活 悲剧 诚如 作者 所 言 一切 充满 了 善 然而 到处 是 不 凑巧 既然 是 不 凑巧 因 之 素朴 的 善终 难免 产生 悲剧 边城 写出 了 一种 如梦似 幻之美像 摆渡 教子 救人 助人 送葬 这些 日常 小事 在 作者 来 都 显得 相当 理想化 颇 有 几分 君子 田 的 气象 当然 矛盾 也 并非 不 存在 明眼人 一看 便 知 作者 所用 的 背景 材料 中便 隐伏 着 社会 矛盾 的 影子 作者 亦 不曾 讳言 他 的 写作 意图 是 支持 民族 复兴 大业 的 人 给 他们 一种 勇气 和 信心 
117351360,明朝 那些 事儿 讲述 从 1344 年 到 1644 年 明朝 三百年 间 的 历史 作品 以 史料 为 基础 以 年代 和 具体 人物 为主 线 运用 小说 的 笔法 对 明朝 十七 帝 和 其他 王公 权贵 和 小人物 的 命运 进行 全景 展示 尤其 对 官场 政治 战争 帝王 心术 着墨 最 多 作品 也 是 一部 明朝 政治经济 制度 人伦 道德 的 演义 
117351733,三毛 作品 中 最 脍炙人口 的 撒哈拉 的 故事 由 12 篇 精彩 动人 的 散文 结合 而成 其中 沙漠 中 的 饭店 是 三毛 适应 荒凉 单调 的 沙漠 生活 后 重新 拾笔 的 第一篇 文字 自此 之后 三毛 便 写出 一系列 以 沙漠 为 背景 的 故事 倾倒 了 全世界 的 中文 读者 
117352238,多少年来 城南 旧事 感动 了 一代 又 一代 的 读者 除了 再版 无数次 的 小说 版外 1985 年 本书 在 中国 大陆 搬 上银幕 电影 城南 旧事 获得 中国 电影 金鸡奖 第二届 马尼拉 国际 电影节 最佳 故事片 奖金 鹰 奖章 第十四届 贝尔格 勒 国际 儿童 电影节 最佳影片 思想 奖 等 多项 大奖 儿童 绘 本版 城南 旧事 由 当今 中国 极具 代表性 的 水彩画家 关维兴 运用 优雅 诗意 的 风格 和 穿透 人心 的 独到 技巧 将 创作 的 图画 全然 融入 故事 的 情节 画中 举凡 服饰 器物 和 建筑 考据 详实 没 一点 随便 或 含糊 人物 细致 的 表情 光线 和 空气 的 律动 圆熟 丰美 的 调子 使文图 呈现 无懈可击 的 呼应 绘本 城南 旧事 甫 出版 即 获选 19931994 年 波隆 那 国际 儿童书 插 画展 1993 年 布拉迪 斯 国际 插画 双年展 以及 1994 年 加泰隆 尼亚 国际 插画 双年展 从 小说 到 电影 从 成人 书到 儿童 绘本 城南 旧事 是 故事 是 梦幻 读时 仿若 音乐 轻轻 扣动 人心 字里行间 所隐涵 的 深意 更 令人 撼动 久久 不能自已 
117353276,许 三观 卖血记 是 余华 1995 年 创作 的 一部 长篇小说 它 以 博大 的 温情 描绘 了 磨难 中 的 人生 以 激烈 的 故事 形式 表达 了 人 在 面对 厄运 时 求生 的 欲望 小说 讲述 了 许 三观 靠着 卖血 渡过 了 人生 的 一个个 难关 战胜 了 命运 强加 给 他 的 惊涛骇浪 而 当 他 老 了 知道 自己 的 血 再也 没有 人要 时 精神 却 崩溃 了 
