id,abstract
1,无尽 宇宙 之中 有 八道 鸿蒙 道 则 这 八道 道 则 每 一道 都 被 一个 无 上 强者 融合 没有 人 知道 宇宙 之中 还有 第九 道 道 则 这 一道道 则 破开 鸿蒙 无人 可触 
2,权力 首长 百度 云 下载 韩梓宇 做梦 也 没有 想到 凭 自己 这样 的 条件 竟然 能 娶 到 一个 倾国倾城 的 女神 做 老婆 他 更加 没有 想到 新婚之夜 酒醒 之后 睡 在 自己 边上 的 不是 自己 的 老婆 而是 老婆 的 姐姐 可是 意外 还 在 继续 他 更加 没有 料到 自己 会 踏上 官路 成为 省委 秘书 成为 二号 红 人 
3,蜀山 有 玄门 正宗 一家独大 主角 修炼 的 是 魔门 正宗 群号 紫云 宫 22117110 
4,红 唇吻 暖 了 心 百度 云 下载 主要 讲述 了 司夜 擎夏 晚凉 之间 的 故事 面对 生病 的 女儿  父亲 公司 的 债务 危机 夏晚 凉 束手无策  他 没想到 自己 深爱 的 男人 竟然 想要 他们 刚出生 的 女儿 去 死 而且 是 那样 的 狠心 不留余地 当 女儿 死 在 自己 面前 的 时候 夏晚 凉 的 心 彻底 死 了 
5,火爆 新书 无敌 仙 尊重 生 都市 降临到 了 一名 普通 的 高三 学生 身上 会修 真通 医道 能 隐身 游走 校园 玩转 都市 以 爆表 的 力量 横扫 一切 专治 各种 不服 我会 修真任 我 纵横 
6,若 是 可以 选择 周凡 永远 不想 降临 这个 恐怖 世界 因为 他 感觉 到 了 这个 世界 对 他 极大 的 恶意 心口 浮现 的 寿数 就 像 一个 计时 炸弹 在 滴滴答答 倒数 着 他 的 寿命 寿数 尽头 时 将 会 有 恐怖 存在 夺去 他 的 生命 作为 短命 种 必须 加入 死亡率 高 的 村 巡逻队 面对 着 层出不穷 的 怪谲 每天 挣扎 求存 白天 受到 暗处 的 极恶 极 贪婪 目光 窥视 夜晚 作梦 时 还 会 被 拉进 怪异 的 灰雾 空间 周凡 有时候 怀疑 自己 能 不能 活着 走出 这个 恐怖 至极 的 新手村 更 别说 踏上 修真之 路 增加 自己 的 寿命 了 诡秘莫测 的 游怨 挣扎 求存 的 人族 神秘 危险 的 辽阔 地域 欢迎 进入 恐怖 惊悚 的 修仙 世界 
7,最强 封神 火爆 免费 穿越 成为 即将 被妲己 做成 肉饼 的 姬考 激活 最强 召唤 系统 开始 了 另类 的 封神 历程 猴哥 今日 孤封 你 为 齐天大圣 杨戬 这 只哮 天神 犬 孤 赏赐 于 你 祸国殃民 苏妲己 冰清玉洁 陆雪琪 嫦娥 七仙女 大神 笔下 主角 史上 最强 战将 会聚 一堂 争锋 封神 沙场 论 天下 谁 是 英雄 成王败寇 裂土 封神 人妖 仙 三足鼎立 强中 之强 王中 之 王尽 在 封神 之 召唤 猛将 
8,凡人 修仙 风云 再起 时空 穿梭 轮回 逆转 金仙 太 乙 大罗 道祖 三千 大道 法则 至尊 凡人 修仙 传 仙界 篇 一个 韩立 叱咤 仙界 的 故事 一个 凡人 小子 修仙 的 不灭 传说 
9,举头 三尺 无 神明 掌心 三寸 是 人间 这是 耳根 继仙逆求 魔 我 欲 封 天一 念 永恒 后 创作 的 第五部 长篇小说 三寸 人间 
10,王雄 觉醒 前世 记忆 重掌 人间 权柄 携 千军万马 发大 杀机 重蹬 仙界 旧地 征伐 四方 仙神 斗转星移 天翻地覆 大家 可以 加 我 的 微信 公众 号 aiguanqi 微信 公众 号 上 有 观棋 的 所有 小说 有 大家 的 评论 区有 观棋 的 QQ 观棋 的 QQ 群有 兴趣 的 朋友 请加 微信 公众 号 
11,魏易 获得 神级 升级 系统 只要 经验值 一切 都 可以 升级 修为 可以 升级 武技 可以 升级 炼丹 可以 升级 炼器 可以 升级 血脉 可以 升级 武魂 可以 升级 什么 妹子 也 可以 升级 强 到 爆炸 的 升级 系统 一路 吊炸天 的 爽快 之旅 
12,天书 封神榜  地书 山海经  人书 生死簿 九天 之上 是 为 仙宫 
13,一门 被 视为 垃圾 的 功法 一个 被 同门 视作 废人 的 修炼 狂人 在 得到 一枚 阴阳 玉佩 之后 一切 将 彻底改变 \u3000 \u3000 十倍 修炼 速度 令古飞 一再 突破 武道 极限 千百年来 已 被 人 认定 的 铁律 被 古飞 一一 打破 \u3000 \u3000 奇迹 古飞 不 相信 奇迹 他 相信 的 只有 血 和 汗 在 这个 武道 已经 没落 真正 的 武道 奥义 已经 失传 的 腾龙 大陆 修炼 界且 看古飞 如何 以 武逆天 脚踏 道术 神通 拳打 妖魔鬼怪 怀抱 红颜 绝色 成就 不灭 武尊 \u3000 \u3000 梁三 的 书 群群 一 139735153 群二 274673223 空群 11269273 满 76376881 未满 梁三 完本 作品 都市 之古武 风流 
14,小白 同学 的 大符 篆师 之路 
15,五浊 恶世 地狱 已空 厉鬼 复苏 人间 如狱 这个 世界 鬼 出现 了 那么 神 又 在 哪里 求神 救世 可 世上 已无神 只有 鬼群 623363217 欢迎 加入 
18,出 了 点 小 意外 被 开除 的 侦察兵 王 无意间 得到 了 残缺 修真 传承 自己 本来 就是 种种 田炼 炼丹 追求 追求 什么 长生 啊 之类 的 可是 恶霸 美女 你们 来 干 啥子 我 的 丹药 可 没 多 的 
