id,abstract
118014343,奇迹 一部 新人 处女作 上市 第一周 即 登上 纽约时报 畅销 榜 至今 已 累计 80 周 仍 高居 Top1 全美 销量 破 百万册 作者 因此 书 被 时代周刊 评为 年度 影响力 人物 比尔 • 盖茨 年度 荐 书 第一名 美国 亚马逊 年度 编辑 选书 第一名 纽约时报 华尔街日报 波士顿 环球 报 畅销书 排行 第一名 Goodreads 读者 票选 超越 米歇尔 成为 获 年度 最佳 图书 洛杉矶 时报 最佳 传记 奖 纽约时报 卫报 华盛顿邮报 泰晤士报 星期日 泰晤士报 经济学 人 奥普拉 杂志 美国 国家 公共 广播电台 等 二十多家 权威 媒体 年度 图书 一个 惊人 的 故事 真正 鼓舞人心 我 在 阅读 她 极端 的 童年 故事 时 也 开始 反思 起 自己 的 生活 你 当 像 鸟 飞往 你 的 山 每个 人 都 会 喜欢 它 甚至 比 你 听说 的 还要 好 比尔 • 盖茨 教育 意味着 获得 不同 的 视角 理解 不同 的 人 经历 和 历史 接受 教育 但 不要 让 你 的 教育 僵化 成 傲慢 教育 应该 是 思想 的 拓展 同理 心 的 深化 视野 的 开阔 它 不 应该 使 你 的 偏见 变得 更 顽固 如果 人们 受过 教育 他们 应该 变得 不 那么 确定 而 不是 更 确定 他们 应该 多 听 少 说 对 差异 满怀激情 热爱 那些 不同于 他们 的 想法 塔拉 • 韦斯特 弗 福布斯 杂志 访谈 你 可以 用 很多 说法 来 称呼 这个 全新 的 自我 转变 蜕变 虚伪 背叛 而 我 称之为 教育 塔拉 • 韦斯特 弗 作者 亲定 中文版 书名 你 当 像 鸟 飞往 你 的 山 人们 只 看到 我 的 与众不同 一个十七岁 前 从未 踏入 教室 的 大山 女孩 却 戴 上 一顶 学历 的 高帽 熠熠生辉 只有 我 知道 自己 的 真面目 我 来自 一个 极少 有人 能 想象 的 家庭 我 的 童年 由 垃圾场 的 废铜烂铁 铸成 那里 没有 读书声 只有 起重机 的 轰鸣 不 上学 不 就医 是 父亲 要 我们 坚持 的 忠诚 与 真理 父亲 不 允许 我们 拥有 自己 的 声音 我们 的 意志 是 他 眼中 的 恶魔 哈佛大学 剑桥大学 哲学 硕士 历史 博士 我 知道 像 我 这样 从 垃圾堆 里 爬出来 的 无知 女孩 能 取得 如今 的 成就 应当 感激涕零 才 对 但 我 丝毫 提不起 热情 我 曾 怯懦 崩溃 自我 怀疑 内 心里 有 什么 东西 腐烂 了 恶臭 熏天 直到 我 逃离 大山 打开 另 一个 世界 那 是 教育 给 我 的 新世界 那 是 我 生命 的 无限 可能 
118014844,平凡 的 世界 是 一部 现实主义 小说 也 是 一部 小说 形式 的 家族史 作者 浓缩 了 中国 西北 农村 的 历史 变迁 过程 在 小说 中 全景式 地 表现 了 中国 当代 城乡 的 社会 生活 在 近十年 的 广阔 背景 下 通过 复杂 的 矛盾 纠葛 刻划 社会 各阶层 众多 普通人 的 形象 劳动 与 爱情 挫折 与 追求 痛苦 与 欢乐 日常生活 与 巨大 社会 冲突 纷繁 地 交织 在 一起 深刻 地 展示 了 普通人 在 大 时代 历史进程 中 所 走过 的 艰难曲折 的 道路 
118015479,本书 讲述 了 一个 渔夫 的 故事 古巴 老 渔夫 圣地亚哥 在 连续 八十四 天没捕 到 鱼 的 情况 下 终于 独自 钓上 了 一条 大马 林鱼 但 这鱼 实在 大 把 他 的 小船 在 海上 拖 了 三天 才 筋疲力尽 被 他 杀死 了 绑 在 小船 的 一边 在 归程 中 他 再 遭到 一条 鲨鱼 的 袭击 最后 回港 时 只 剩 鱼头 鱼尾 和 一条 脊骨 而 在 老 圣地亚哥 出海 的 日子 里 他 的 忘 年 好友 一直 在 海边 忠诚 地 等待 满怀信心 地 迎接 着 他 的 归来 
118020883,这 本书 收入 斯蒂芬 金 的 四部 中篇小说 是 他 作品 中 的 杰出 代表作 其 英文版 一经 推出 即 登上 纽约时报 畅销书 排行榜 的 冠军 之位 当年 在 美国 狂销 二十八 万册 目前 这 本书 已经 被 翻译成 三十 一种 语言 同时 创下 了 收录 的 四篇 小说 中有 三篇 被 改编 成 轰动一时 的 电影 的 记录 其中 最为 著名 是 曾 获 奥斯卡奖 七项 提名 被 称为 电影史 上 最 完美 影片 的 肖申克 救赎 又 译 刺激 一九九 五 这部 小说 展现 了 斯蒂芬 金于 擅长 的 惊悚 题材 之外 的 过 人 功力 书中 的 另 两篇 小说 纳粹 高徒 与 尸体 拍成电影 后 也 赢得 了 极佳 的 口碑 其中 尸体 还 被 视为 斯蒂芬 金 最具 自传 色彩 的 作品 
118021316,牧羊 少年 圣地亚哥 接连 两次 做 了 同一个 梦 梦见 埃及 金字塔 附近 藏有 一批 宝藏 少年 卖掉 羊群 历尽 千辛万苦 一路 向南 跨海 来到 非洲 穿越 死亡 之海 撒哈拉 大 沙漠 期间 奇遇 不断 在 一位 炼金术士 的 指引 下 他 终于 到达 金字塔 前 悟出 了 宝藏 的 真正 所在 
118021802,本书 的 主人公 保尔 柯察金 饱尝 了 生活 的 苦难 炼就 了 革命 精神 和 反抗 性格 十月革命 爆发 后 只有 十六岁 的 他 就 参加 了 红军 无论 在 战 炮火 中 还是 在 国民经济 复 时期 可察金 都 表现 出 大无畏 精神 钢铁 一般 的 意志 强烈 的 爱国主义 和 对 人民 的 无限 的 无限忠诚 由于 在 战争 中 多次 负伤 以及 劳累过度 他 全身 瘫痪 双目失明 被 牢牢 禁锢 在 床上 但 他 占 胜 了 精神 与 肉体 的 打击 拿 起笔 来 歌颂 为 建立 苏维埃 政权 而 奋斗 的 英雄 
118022704,责任 梦想 努力 坚定 张艺兴 的 24 年 经历 了 充满 了 春 之 朝气 夏 之 溽热 秋 之 丰盛 冬 之 变革 的 四季 从 青涩 少年 蜕变 为 耀眼 巨星 张艺兴 首次 记录 成长 点滴 这是 熟悉 又 陌生 的 张艺兴 童年 时 经常 思考 我 的 世界 的 问题 对 那个 时候 的 我 自己 来说 这种 天旋地转 的 需要 一个 人 静静的 时刻 好像 很 重要 十七岁 只身 赴 韩 有人 问 我 在 韩国 那 两年 的 生活 是 什么 颜色 我 想 了 很 久 是 没有 颜色 的 我 不 知道 努力 是 什么 颜色 二十一岁 以 EXO 成员 身份 正式 出 道 所有人 只能 帮助 那个 想要 成长 的 你 没有 人会求 着 你 去 成长 因为 那 是 你 自己 的 事情 二十三岁 被 推上 舆论 的 风口浪尖 不管 别人 说 什么 我 只 做 我 内心 认为 正确 的 事 问心无愧 堂堂正正 一个 简单 又 坚强 的 张艺兴春 之 朝气 在 万物 如新 的 时节 与 世界 初见 家人 的 爱 是 一种 幸福 更是 一份 责任 夏 之 溽热 在 严酷 艰难 的 时刻 退去 青涩 找回 自己 需要 战斗 从来 没有 天分 只有 努力 秋 之 丰盛 在 耀眼 的 季节 坚定 向前 把 喜欢 的 事 做到 极致 做 给 自己 看 也 做 给 怀疑 我们 的 世界 看冬 之 变革 在 蓄势待发 的 转折 期间 从未 忘却 初 心 就算 世界 只 剩下 自己 也 不要 丢 了 梦想 我会 疲惫 但 不会 胆怯 我会 失败 但 不会 退缩 我 就是 我 的 世界 
118023306,鲁滨逊 飘流 记是 18 世纪 英国 作家 达尼尔 笛福 的 代表作品 也 是 一部 具有 广泛 的 世界性 影响 的 作品 小说 以 1704 年 一名 苏格兰 水手 亚历山大 薛 里基 洛克 航海 遇险 飘流 在 一个 荒岛 上 并且 单独 留居 了 四年 才 被 救回 了 故事 作为 素材 加工 而成 的 小说 的 主人公 鲁滨逊 是 一 青年 性喜 冒险 他 不顾 父亲 的 劝阻 决心 要 过 海上 生活 开头 号 几次 航海 以商 颇为 顺利 但 有 一次 为 土耳其 海盗 所俘 幸而 不久 脱 脱逃 至 巴西 经营 蔗田 和 糖厂 四年 后 因获 暴利 又 往 非洲 反卖 黑 八股 中 于大海 中 遇险 船上 全部 船员 葬身鱼腹 仅 鲁滨逊 一个 脱难 飘流 至 一 荒岛 之上 从此 他 孤独 一个 在 岛 羊 造船 等 后来 他 救 了 一个 野人 俘虏 取名 礼拜五 鲁滨逊 在 岛上 生活 了 二十八年 最后 一艘 英国 船航经 荒岛 他 才 有 机会 搭船 回国 
118024359,这 本书 处处 透露 出 沟通 与 理解 的 意味 它 跨越 时代 限制 帮助 我们 探索 爱 的 本质 引导 我们 过 上 崭新 宁静 而 丰富 的 生活 它 帮助 我们 学习 爱 也 学习 独立 它 教诲 我们 成为 更 称职 的 更 有 理解 心 的 父母 归根到底 它 告诉 我们 怎样 找到 真正 的 自我 正如 开篇 所 言 人生 苦难 重重 M 斯科特 派克 让 我们 更加 清楚 人生 是 一场 艰辛 之旅 心智 成熟 的 旅程 相当 漫长 但是 他 没有 让 我们 感到恐惧 相反 他 带领 我们 去 经历 一系列 艰难 乃至 痛苦 的 转变 最终 达到 自我 认知 的 更 高 境界 
118024898,二十二岁 的 林 朝夕 在 父亲 确诊 阿尔茨海默 病 这天 得知 自己 暗恋 多年 的 校园 男神 裴 之 即将 出国深造 的 消息 对方 考取 的 学校 恰是 父亲 当年 为 她 放弃 的 那 所 同样 自幼 与 奥数 结缘 裴 之 在 通往 数学 之 路上 步履 不停 的 背影 令 曾 被 父亲 寄予厚望 却 半途而废 的 林 朝夕 幡然醒悟 自己 与 真正 的 天才 间 存在 无法 追赶 的 遥迢 距离 直到 亲手 敲开 记忆 中 的 那 枚 彩蛋 一道 爱因斯坦 质能 方程式 为 她 开启 了 一段 说走就走 的 逆袭 之 旅在 这场 光怪陆离 的 冒险 中 凭借 多年 奥数 竞赛 经验 开挂 的 林 朝夕 豁然 发觉 那些 曾经 辜负 的 光阴 遗弃 的 信条 未竟 的 梦想 错失 的 羁绊 乃至 父亲 的 病症 在 她 拾获 这份 来自 命运 的 垂青 时 一切 便 都 有 了 重新 弥补 的 可能 哪怕 是 开局 坏 到极点 的 人生 亦 有 无限 生机 
