id,abstract
2020060600052034,刘爽 研究员 的 专著 苏联 解体 的 史学 阐释 2009 唯物史观 与 历史 研究 2015 相继问世 后 现在 又 有 一部 力作 呈现 在 人们 面前 即将 由 中国社会科学出版社 出版 这 就是 国家 社会科学 基金项目 的 最终 成果 当代 俄罗斯 史学 研究 笔者 作为 他 在 中国社会科学院研究生院 攻读 博士学位 时 的 指导 教师 和 同行 有幸 先睹为快 这令 我 十分 兴奋 同时 也 十分 欣慰 刘爽 无论 作为 研究员 还是 双肩挑 出任 黑龙江省 社会科学院 副 院长 还是 退居二线 继续 担任 首席专家 他 始终 视 学术 为 生命 只管 耕耘 不问 收获 在 刘爽 看来 铁肩担道义 文章 千古 事 乃 做学问 之 根本 他 把 平凡 的 工作 自觉 地 与 繁荣 中国 历史 科学 构建 中国 马克思主义 史学 恢宏 大厦 联系 在 一起 
2020060600052035,作者 长期 从事 清史 满族 史 研究 一向 重视 文献 研究 与 田野 调查 的 结合 20012019 年 二十年 间 从事 清朝 史迹 调查 80 余次 本书 所收 调查报告 15 篇 即 其中 第一批 成果 内容 包括 各地 八旗 驻防 遗迹 当地 满族 今昔 三藩 史迹 边疆民族 文化 以及 战场 关隘 衙署 会馆 庙宇 古镇 驿站 的 考察报告 注意 搜集 碑刻 史志 家谱 照片 和 口述 资料 等 信息 重视 记录 被采访者 的 历史 记忆 有关 民族 认同 和 民族 关系 的 表述 旨在 对 相关 研究 有所 推进 的 同时 为 了解 清代 历史 民族 地域 文化 提供 一个 新 的 窗口 
2020060600052036,清廷 制宪 作为 世界 制宪 大潮 的 一环 深受 明治 日本 的 影响 可谓 言 必称 日本 其 制宪 进程 因 辛亥革命 戛然而止 遭到 挫折 本书 以 清政府 的 视角 紧扣 清廷 制宪 与 明治 日本 的 关系 详细 梳理 中国 首次 制宪 的 全程 总结 其 经验 评判 其 得失 
2020060600052037,本书 以 长期 被忽视 的 古籍 中 收录 的 舆 地图 为 主要 对象 并 结合 各 图书馆 已经 公布 的 绘 本刊 本 以及 刻石 的 舆 地图 共收录 清代 之前 的 地图 500 余种 书中 首先 对 收录 舆 地图 的 古籍 进行 了 简要 介绍 然后 以此 为 基础 通过 比照 分析 按照 谱系 将 具有 渊源 关系 的 舆 地图分类 列出 并 简要 说明 各 谱系 所属 地图 之间 的 关系 和 重要 差异 最后 部分 则 以 舆 地图 为 主要 材料 对 古地图 研究 中 被忽视 或者 有着 错误认识 的 一些 问题 进行 了 探讨 
2020060600052038,有关 秦史 与 秦 文化 的 研究 是 当今 史学界 的 热点问题 相关 研究 有 了 较大 推进 取得 了 不少 优秀成果 本书 共计 收录 28 篇 论文 分为 政治 与 经济 中央 与 地方 信仰 与 民俗 传世 文献 与 出土 简牍 4 个 专题 部分 论文 结合 传世 文献 典籍 考古 出土 资料 及 图像资料 分析 秦史 各 阶段 的 特点 总结 秦 文化 体现 出来 的 积极意义 并 对 秦人 的 物质 生活 与 精神 信仰 世界 做 了 微观 考察 部分 论文 从 政治 军事 文化 制度 等 几个 方面 来 分析 秦 实现 统一 的 原因 并 对 秦 的 经济 生活 与 生产方式 进行 个案 式 探讨 取得 了 一些 突破性 见解 部分 论文 利用 出土 简牍 材料 及 传世 文献 对 秦 的 政治 结构 行政 体制 官僚机构 和 基层 管理 的 问题 展开 探讨 对 秦 的 社会 结构 阶级 关系 以及 秦政对 后世 的 彩响 
2020060600052039,秦 封泥 是 复原 秦代 职官 制度 地理 制度 极为重要 的 出土 文献 由于 其多为 盗掘 出土 分散 收藏 于 国内外 公私 藏家 陆续 发表 在 各种 图书 期刊 报纸 网页 造成 学者 利用 的 巨大 困难 有鉴于此 秦 封泥 集存 对 已 公布 的 秦 封泥 资料 进行 全面 收集 并 根据 封泥 拓片 照片 等 内容 进行 去 重 处理 以求 获得 迄今为止 最 全面 的 封泥 品种 数量 等 信息 这 将 对 秦 的 职官 郡县 构成 变化 以及 秦 的 历史 研究 等 产生 重要 影响 
2020060600052040,地缘 战略 心理学 是 在 地缘政治学 和 战略 心理学 交叉 基础 上 生成 的 一个 用以 分析 和 观察 国际 政治 实践 的 新 路径 该 研究 方向 以 战略 史学 为 基础 其 根本 逻辑 在于 假定 人性 在 相同 地缘 战略 压力 结构 下会 呈现出 相近 的 心理 状态 与 共性 反应 本书 通过 对 趋势 焦虑 与 冲突 意愿 国际 政治 中 的 老爷子 现象 圣诞老人 效应 沉没 成本 迷思 竞拍者 迷思 赌徒 博弈 崛起 战略 中 的 腓力 陷阱 崛起 进程 中 的 威廉 困境 心脏地带 迷思 多米诺 疑惧 黄金 之 国 迷思 同盟 承诺 困境 以及 科林斯 难题 等 有趣 的 战略 心理学 现象 的 研究 目的 在于 回应 并 服务 于 当今 时代 中国崛起 的 现实 需求 学者 的 本质 是 优质 观念 的 载体 也 是 思想 产品 的 供应商 作为 一本 思考 大国 崛起 战 
2020060600052041,巴尔干 近现代史 是 国内 学术界 第一本 系统 介绍 和 论述 巴尔干 国家 近现代史 的 专著 它 包括 巴尔干 在 拜占庭 帝国 统治 时期 奥斯曼帝国 统治 时期 一战 时期 二战时期 冷战 时期 以及 东欧 剧变 以来 的 区域 国别史 其中 重点 介绍 巴尔干 的 重大 历史 事件 和 历史 人物 深入分析 巴尔干地区 和 国家 发展 中 的 特性 和 共性 
2020060600052042,小斯 当东 是 19 世纪 英国 著名 的 政治家 外交家 和 汉学家 被誉为 英国 汉学 研究 的 创始人 是 18 世纪末 至 19 世纪 50 年代 中英关系 史中 一系列 重大事件 的 见证者 和 亲历者 1792 年 时 年 十一岁 的 小斯 当东 随同 马夏尔尼 使团 来华 并 随同 马夏尔尼 及其 父 觐见 乾隆皇帝 1800 年 后 小斯 当东 长期 在 英国 东印度 公司 驻 广州 商馆 工作 担任 商馆 主席 全面 负责 英国 对华贸易 事宜 1816 年 英国政府 派遣 阿美士 德为 正使 使华小斯 当东 被 任命 为 副 使 在 觐见 嘉庆 皇帝 时中英 双方 产生 了 礼仪 之争 小斯 当东 坚决 反对 阿美士 德向 中国 皇帝 行 叩头 礼 导致 这次 出使 以 失败 而 告终 小斯 当东 回国 后 他 著书立说 阐述 了 自己 对 中国 政治 外交 和 文化 的 认识 理解 这些 著作 对 
2020060600052043,本书 不 求 实证 历史 事件 或 编年 而是 致力于 引导 读者 的 思考 与 探索 当下 历史学 的 全新 使命 应当 如何 重新认识 历史 以及 研究 历史 通过 海洋 连接 在 一起 的 欧洲 非洲 亚洲 美洲 相继 通过 宗教 媒体 和 电子科技 重新 联系 在 一起 作者 借助 当代 摄影 电影 歌剧 音乐 甚至 漫画 等 各种 手段 呈现出 后殖民 世界 中交杂 文化 与 历史 遗产 的 融合 现状 以 世界 几个 大陆 的 多样性 为 重新 书写 历史 的 依据 描绘 了 一个 伊斯兰 与 基督教 之间 资本主义 与 社会主义 文化 精神 交错 融通 的 历史 读者 将 在 本书 中 体会 欧洲 殖民者 殖民地 精英 殖民地 土著 和 混血 后代 的 不同 立场 不同 心态 往返 于 墨西哥 所在 的 北美 秘鲁 巴西 所在 的 南美 以 葡萄牙 西班牙 为 代表 的 欧洲 奥斯曼帝国 的 穆斯林 
