id,abstract
1760,赵 长宁 是 世家 大族 的 嫡 长孙 被 选拔 入 严苛 的 大理寺 为官 环境 艰苦 对手 众多 她 小心谨慎 步步 艰难 直到 有 一天 她 的 冷酷 上司 恶毒 对手 甚至 是 虎视眈眈 的 庶弟 都 知道 了 自己 的 秘密 咦 怎么 感觉 他们 都 一反常态 比 自己 还要 小心翼翼 日常 接触 变得 怪怪的 大理寺 论坛 热帖 我 对手 下属 突然 变成 女孩 纸 了 我 现在 跟 她 说话 接触 变得 很 紧张 很 羞涩 该 怎么办 在线 等 挺 急 的 
1761,王牌 绝宠 总裁 晚上 见 百度 云 主角 洛心辰 他 是 权势 滔天 富可敌国 的 凌家 第四 子 也 是 从小 又 哑 又 瘫且 被 家族 流放 在外 的 弃子 她 不介意 全世界 对 他 的 嘲笑 与 他 合作 了 一场 有名无实 的 婚姻 婚后 才 发现 她 的 残废 丈夫 是 一头 披 着 羊皮 的 狼 一把 轮椅 一支 笔 他 却 抵达 了 权贵 的 顶端 她 亲眼 见证 了 他 以 雷霆 的 手段 吞下 了 抛弃 过 他 的 家族 也 吞下 了 她 瞧 着 小 妻子 留下 的 离婚 协议书 坐在 轮椅 上 的 男人 终于 冷笑 着 站 了 起来 全世界 都 知道 我 是 个 残废 脾气 古怪 不能 人道 你 跑 了 还有 谁 愿意 嫁 我 她 隔 着 一个 太平洋 接到 他 的 电话 泪眼 婆娑 地数 吻痕 
1762,历史 是 可以 改变 的 么 历史 中 存在 过 无数 的 偶然 偶然 推动 着 历史 的 前进 偶然 将 历史 定格 于 今日 的 模样 但 若 命运 突然 更改 了 其中 的 一个 的 偶然 我们 曾经 熟知 的 历史 将 走向 何方 
1763,她 21 世纪 王牌 特工 被 家族 遗弃 的 天才 少女 他傲 娇腹 黑 帝国 太子 一怒 天下 变 的 至 强 王者 她 扮 猪 吃 虎 坑 他 虐 他 刺激 他 每次 撩 完 就 跑 是 个 男人 就 忍 不了 他 只能 猎捕 她 宠 溺 她 诱惑 她 为 他 倾心 谁知 最先 动心 的 人 却 变成 了 他 君临天下 的 少年 凤舞 江山 的 少女 一场 棋逢对手 势均力敌 的 爱情 追逐战 一群 热血 少年 成长 的 奇幻 故事 
1764,她 21 世纪 王牌 特工 被 家族 遗弃 的 天才 少女 他傲 娇腹 黑 帝国 太子 一怒 天下 变 的 至 高 王者 她 扮 猪 吃 虎 坑 他 虐 他 刺激 他 每次 撩 完 就 跑 是 个 男人 就 忍 不了 他 只能 猎捕 她 宠 溺 她 诱惑 她 为 他 倾心 谁知 先 动心 的 人 却 变成 了 他 君临天下 的 少年 凤舞 江山 的 少女 一场 棋逢对手 势均力敌 的 爱情 追逐 游戏 
1765,萧逸字 无愁 命犯 贪狼 犹如 一颗 美丽 的 流星 般 划过 东汉 末年 历史 的 天空 搅动 漫天 风云 曹操 曰 吾 得 无愁 天下 无愁 刘备 曰 有 萧逸 在 中原 无 我 立锥之地 孙权 曰 萧逸不死 孤心 不安 司马懿 曰 吾 若 不取 则 天下 归萧逸 矣 有 诗 为证 卧龙 凤雏隐 荆襄 俊美 幼麟 是 周郎 萧墙 之内 伏冢虎 天意 茫茫 属 萧郎大 魏能 臣 读者 QQ 群号 412145173 
1766,一夕 穿越 首席 特工 竟成 了 丞相 府 的 草包 二 小姐 毫无 灵根 双腿 残废 嫡姐 欺辱 庶妹 算计 好 一个 水生 火热 的 环境 可 她 会 怕 么 明显 不会 坐 拥灵玉 空间 手持 俊美 神兽 升级 炼药 信手拈来 看 你 一个 不 顺眼 就让 你 下 十八层 地狱 敢 说 她 草包 那 她 就 随便 突破 个 武尊 强者 敢 说 她 残废 她 分 分钟 一脚 踹 飞 你 她 嚣张 行走 江湖 自 以为 天下无敌 却 不想 突然 来 了 个 比 她 还 逆天 的 俊美 妖孽 死缠烂打 还 说 要 吃 了 她 解毒 喂喂 喂 我 是 人 不是 药 你 怎么 能 吃 了 我 解毒 此 吃 非 彼 吃 你 先 乖乖 躺 下 本王 再 细细 告诉 你 
1767,悲惨 的 事实 告诉 我们 穿越 是 个 技术活 而 显然 叶枣 技术 一般 被 自家 便宜 舅舅 骗进 人家 府 里 做 小 妾 也 就算 了 为 毛 是 四爷 府上 还是 个 侍妾 这 怎么 混 起点 太低 出身 太 差 筹码 太少 大 BOSS 血太厚 小 BOSS 个个 要命 左思右想 装 贤惠 会 死 因为 前有 乌拉 那拉氏 装 泼辣 会 死 因为 后 有 李侧 福晋 生 儿子 不能 养不生 儿子 没 依靠 这 日子 怎么 过 都 是 个 愁 好不容易 从府 里 混进 宫里 上头 还有 一位 太后 娘娘 嫌弃 她 长得 不 庄重 还好 四爷 不 嫌弃 并且 暗 戳戳 的 就是 喜欢 她 长得 不 庄重 叶枣 的 目标 是 好好 过日子 锦衣玉食 高高在上 四爷 的 目标 是 叫 她 生 
1769,QQ 阅读 第一 编辑组 签约 作品 正在 看亮 剑 的 杨尘 穿越 了 穿越 到 亮 剑 的 平行 世界 成为 晋绥 军 358 团 楚云飞 麾下 一名 士兵 还 带 了 个 系统 哎哟 我 去 杀 鬼子 竟然 爆 装备 系统 提示 恭喜 宿主 击杀 日军 官兵 一名 爆出 毛瑟 98k 狙击步枪 一支 系统 提示 恭喜 宿主 击杀 日军 少尉 一名 爆出 反坦克 一门 系统 提示 恭喜 宿主 击杀 日军 少佐 一名 爆出 意大利 炮 一门 系统 提示 恭喜 老五 刚刚 创建 了 一个 书友 群群 号 1025682932 有 兴趣 的 朋友 不妨 进去 玩玩 切记 不要 去 群里 催 更 不要 去 群里 催 更 不要 去 群里 催 更 重要 的 事情 说 三遍 嘤 嘤 嘤 
1770,父是 亲王 母是 王妃 大伯 是 皇帝 舅舅 是 国公 他们 都 很 疼爱 她 阿元 一直 觉得 自己 穿 了 一个 人生 大赢家 一路 无忧无虑 称王称霸 地长 到 十五岁 赐婚 的 旨意 叫 阿元 傻眼 了 阿元 木然 脸 我 确实 想 嫁 到 你们 家 可是 为 毛 娶 我 的 不是 你 弟湛 某人 微笑 拖走 别 做梦 了 洗洗 睡 吧 
