id,abstract
943,他 是 终日 惹事生非 扰得 京城 鸡犬不宁 的 权相 之子 他 也 
1107,世有 万仙 一派 自诩 仙人 千年 来 风光 无二 势力 无双 
1301,黄昏 过后 仙神 皆 作古 苍茫 天地 万 年间 来 无人 主凡 
1997,三百年 前弃 少 卓不凡 遭人暗算 抛入 大海 幸好 遇到 师尊 君河 仙尊 路过 地球 带 他 离开 地球 在 星际 修真 横扫 寰宇 三百年 后 卓不凡 渡劫 失败 带 着 强势 绝伦 姿态 重生 回 都市 少年时代 拳镇 山河 拾补 遗憾 面对 形同陌路 冷若冰霜 的 妻子 在 家族 受尽 屈辱 的 母亲 豪雄 王侯 的 挑衅 他 发誓 今生 定要 让 世界 臣服 脚下 各位 书友 要是 觉得 重生 弃少 归来 还 不错 的话 请 不要 忘记 向 您 QQ 群和微 博里 的 朋友 推荐 哦 
12022,为了 肩膀 上 的 担子 她 无所不用其极 甚而 以 性命 相付 
12580,未婚夫 背叛 唐 沫儿 一不小心 招惹 上 了 京都 豪门贵胄 顾墨寒 某天 唐 沫儿 捏 着 手里 的 两道 红 杠杠 怒顾少 你 为什么 要 搞 大 我 的 肚子 顾墨寒 将 一个 小奶 娃塞到 她 怀里 老婆 乖 那 是 二胎 于是 唐 沫儿 奶完 了 大 的 奶小 的 但是 有没有 人 告诉 她 为什么 还有 这位 虎视眈眈 的 顾少 也 等 着 她 来奶 1v1 娱乐圈 打脸 爽文 宠文 
13100,她 是 二十一 世纪 药学 天才 一朝 被 悲 催 误杀 正 打算 找 冥王 算账 却 忽然 发现 噫 这人 怎生 得 这般 好看 初见 他 要 恶劣 埋 她 二见 他 将 她 掳 回府 要 她 去 坏人 姻缘 三见 他 带来 的 是 盛世 聘礼 十里 红妆 相迎 贵重 药材 为聘子 衿 嫁 我 可好 谁知 某人 揣着 药材 东西 留下 人 回去 
13198,魔者 欲心 邪者 诡变 魔邪 者 随心所欲 千变万化 黑暗 流无女主 
13979,2014 年 10 月 1 日 因为 某人 与 历史 完全 不同 的 选择 韩宇 从 韩国 的 一处 车祸 现场 醒来 失忆 的 身体 迷雾 重重的 过去 当 他 爬 出 车子 成功 活 下来 的 那 一刹那 开始 一切 都 随之 改变 脑海 深处 那 一块块 零碎 而 闪亮 的 记忆 碎片 每 一块 都 代表 着 一段 不同 的 过往 也 代表 着 一段 剪 不断 理 还 乱 的 缘分 随着 每 一次 的 苏醒 一个个 代表 着 不同 时期 性格 迥异 的 家伙 从 韩宇 的 身体 里 复苏 同样 也 给 他 带来 了 种种 意想不到 的 麻烦 本书 又名 我 身体 里 的 家伙 们 韩娱 小说 新人 新书 求 支持 求 收藏 求 推荐 书友 群 116466429 
22461,哪怕 时光倒流 李蘅远 的 缺心眼 还是 路人皆知 姨娘 
23101,金牌 女主播 意外 重生 1999 年 重生 那 一瞬 作者 死 乞白 咧 
24773,历史 的 真相 永远 是 盲人摸象 政治 的 真相 永远 是 没有 真相 
26367,他 在 都市 中 悠闲 生活 打造 着 自己 事业 的 同时 还是 被 选 
26421,从 哪里 摔倒 的 就要 从 哪里 爬起来 媳妇 你 想 不想 这辈 
29379,穿越 成 一本 男主 重生 年代 文中 反派 大 Boss 的 儿子 的 炮灰 极 
29475,苏小蔷 经历 了 前世 种种 背叛 一 觉醒 来 居然 穿越 未来 世界 
30560,飞檐走壁 单手 碎石 并 不是 传说 而能 做到 这些 的 在 这 
