id,abstract
2020060600051834,我们 华中师范大学 中国 农村 研究院 是 专门从事 农村 问题 研究 的 机构 并 以 调查 为 基本 方法 我们 将 满铁 农村调查 资料 翻译成 中文 出版 的 设想 已有 10 多年 满铁 农村调查 资料 是 指 20 世纪 上半期 由 日本 南 满洲 铁道 株式会社 简称 满铁 支持 对 中国 调查 形成 的 资料 由 满铁 支持 的 中国 调查 长达 40 多年 形成 了 内容 极其 庞大 的 调查 资料 满铁 调查 的 目的 出于 长期 侵占 中国 的 需要 但 由 这 一 调查 形成 的 资料 对于 了解 当时 的 中国 有 重要 的 参考价值 其 调查 方法 也 有 其 独特性 中国 是 世界 农业 文明古国 也 是 世界 农村 大国 但 从 学理 上 对 中国 农村 进行 专门 和 系统 的 研究 时间 不长 有 影响 的 论著 还 不 多 10 多年 前 一系列 由 美国 籍 学者 撰写 的 关于 中国 农村 研究 的 专 
2020060600051835,正义 论是 一座 纯粹 由 哲学 概念 搭建 起来 的 理念 大厦 这座 大厦 向 人们 展现 了 一个 完全 正义 的 理想 社会 〈 正义 论 〉 讲义 一书 正像 一本 参观 这座 理念 大厦 的 导游 手册 本书 基于 李石 教授 十年 来 在 中国人民大学 开设 的 正义 论 原典 选读 课程 以 专业知识 为 支撑 用 深入浅出 的 语言 为 读者 讲解 正义 论一书 的 论证 结构 和 核心内容 这本 导游 手册 以 其 清晰 的 逻辑 使 读者 不至于 迷失 在 概念 迷宫 之中 以 其 思辨性 的 推理 让 读者 感悟 分析 哲学 的 魅力 以 其 活泼生动 的 语言 扫除 学术著作 的 阅读障碍 书中 所 讨论 的 理论 主要 有 原初 状态 正义 原则 优先 规则 程序 正义 正义感 理性 的 善 等等 这些 理论 和 概念 通过 正义 论一书 而 为 人们 所知 却 并 没有 因 其 作者 
2020060600051836,何处 是 江南 言人人殊 这里 的 江南 在 近代 偏向 于 社会变迁 和 离乱 更为 显著 的 民国 这里 的 江南 在 乡土 立足于 乡民 直接 照面 的 基层 共同体 这里 的 江南 在 世界 在 渐趋 一体 的 整体 格局 中 观照 地域 社会 这里 的 江南 在 日常 着眼于 乡村 社会 生活 的 细部 本书 以 日常 诸 要素 为 逻辑 依据 首先 刻画 江南 乡民 的 时空 坐落 确认 其 基本 生活 单元 接着 从 劳作 与 生计 日常 境遇 人际关系 婚姻生活 休闲 方式 和 民众 观念 诸 面相 进行 横向 的 微观 考察 而 乡民 生活 的 改进 则 偏重于 纵向 轨迹 的 勾勒 最后 从 研究法 的 角度 对 社会史 的 另类 史料 和 思维 方式 问题 进行 专门 思考 我们 以 当时 人 当地人 当事人 的 立场 体悟 乡民 生活 的 意义 在 风土 社会 与 文明 世界 的 关系 中 展示 江南 乡民 的 日常 世界 
2020060600051837,The40yearssincethestartofthereformandopeningupin1978hasbeenaprocessofexplorationoftheroadofsocialismwithChinesecharacteristicsconstructionofamodernizedcountryandrealizationofthegoalofmakingtheChinesenationrichandstrongIthasbeenthe40yearsthatdeterm 
2020060600051838,全球 治理 取得 跨越式 发展 是 20 世纪 90 年代 冷战 结束 两级 格局 的 终结 全球化 得到 空前 发展 包括 中国 在内 的 金砖 国家 的 崛起 现代 国际 关系 体系 历经 巨大 冲击 调整 和 变革 这 促成 许多 新 的 全球性 或 区域性 国际 机构 的 成立 与 运行 历经 70 年 发展 中国 从 积贫积弱 的 国家 发展 成为 世界 第二 大 经济体 堪称 世界 奇迹 为 人类 社会 发展 世界 和平 与 发展 作出 新 的 更 大 贡献 为 发展 完善 全球 治理 体系 提供 中国 智慧 和 中国 方案 不仅 对于 我们 自身 进一步 前行 弥足珍贵 也 是 对 人类 社会 发展 规律 探索 的 中国 贡献 
2020060600051839,本 报告 是 中国社会科学院社会学研究所 中国 社会 状况 综合 调查 ChineseSocialSurvey 团队 依托 2019 年 中国 社会 状况 综合 调查 数据 以 社会 质量 为 理论 框架 对 当前 我国 社会 发展 水平 进行 的 研究 分析 报告 重点 从 社会 经济 保障 社会 凝聚 社会 包容 社会 赋权 等 几个 方面 对 我国 社会 发展 水平 进行 了 评价 报告 认为 中国 社会 正 步入 高质量 发展 阶段 城乡居民 收入 增长 显著 生活 水平 不断 提高 就业 整体 质量 持续 提升 公众 的 获得 感 公平 感 显著 增强 报告 同时 也 指出 在 社会 发展 总体 向 好 的 同时 社会 质量 的 进一步提高 也 面临 一些 问题 和 挑战 例如 如何 进一步提高 公众 的 现代性 水平 如何 实现 更 高质量 的 公众 政治 社会 参与 等 本报 
2020060600051840,本丛书 系 国家 社科 基金 一带 一路 建设 研究 专项 一带 一路 沿线 国别 研究 报告 的 成果 以 推动 一带 一路 倡议 深入 发展 为 着眼点 对 沿线 国家 的 基本国情 重大 专题 以及 与 中国 的 双边关系 进行 比较 深入 系统 和 全面 的 研究 本丛书 的 特色 是 第一 通过 跨学科 协作 突出 基本国情 研究 的 综合性 分别 从 综合国力 人口 结构 资源 禀赋 基础设施 产业结构 政治 生态 民族宗教 对外 关系 等 方面 对 沿线 国家 的 基本国情 进行 深度 剖析 第二 结合 一带 一路 建设 需要 突出 重大 专题研究 的 专业性 重点 关注 各国 的 中长期 战略 投资 与 营商 环境 中心 城市 及其 区域 影响力 等 方面 第三 着眼于 务实 合作 突出 双边关系 研究 的 纵 深度 从 历史 与 前瞻 中国 观 一带 一 
2020060600051841,本书 从 政治 哲学 视角 对 西方 公私 利益 关系 理论 进行 了 全面 梳理 揭示 出 公私 利益 关系 理论 与 社会制度 架构 之间 的 内在 关联 强调 了 社会制度 模式 之 于 公私 利益 矛盾 解决 的 决定性 意义 从而 更好 地 回答 了 以往 公私 利益 关系 理论 付诸实践 所 导致 困境 的 现实 根源 问题 这 对于 思考 当下 社会 中 公私 利益 矛盾 处理 无疑 具有 深刻 的 启发 意义 
2020060600051842,1864 年 中亚地区 进入 大变局 时代 引起 大变局 爆发 的 第一 推动力 是 俄国 在 中亚 的 大举 扩张 由于 中亚地区 关系 到 英国 最 重要 的 殖民地 英 属 印度 的 安全 所以 英国 对 中亚 大变局 给予 了 非常 之 关切 与 俄国 展开 战略 竞争 以 防止 俄国 通过 中亚 去 破坏 英 属 印度 的 安全 这是 19 世纪 英俄 亚洲 大 博弈 的 一部分 在 这个 过程 中 英国 相继 推出 消极 的 精明 无为 政策 积极 的 精明 无为 政策 适度 的 前进 政策 激进 的 前进 政策 和 勉强 的 前进 政策 这些 政策 的 中心 目标 是 应对 俄国 威胁 主要 焦点 是 阿富汗 问题 
2020060600051843,2019 年 是 中华人民共和国 成立 70 周年 同时 也 是 中国 与 匈牙利 建交 70 周年 在 中国社会科学院 欧洲 研究所 和 匈牙利 驻华使馆 的 共同 推动 下 中国 中东欧 研究院 与 匈牙利 国际事务 与 对外贸易 研究所 这 两家 设立 在 布达佩斯 的 智库 于 2019 年 春季 发起 了 中 匈 双边关系 70 年 的 征文活动 并 引起 了 两国 学术界 和 智库 的 关注 通过 对 论文 进行 筛选 我们 于 2019 年 9 月 23 日 在 布达佩斯 举办 了 相关 研讨会 本书 是 各方 共同 合作 的 最终 成果 并且 用 中文 匈牙利 文 以及 英文 同步 出版 中文版 由 中国社会科学出版社 在 北京 出版 匈牙利 文版 由 匈牙利 国际事务 与 对外贸易 研究所 在 布达佩斯 出版 英文版 由 中国 中东欧 研究院 在 布达佩斯 出版 中国 中东欧 研究院 非营利 有限 责 
