id,abstract
120583769,从 十五世纪 下半叶 起以 意大利 为 发源地 欧洲 进入 了 文艺复兴 时期 正如 恩格斯 曾经 指出 的 这 是 一次 人类 从来 没有 经历 过 的 最 伟大 的 进步 的 变化 是 一个 需要 巨人 的 时代 而且 产生 了 巨人 在 思维能力 热情 和 性格 方面 在 多才多艺 和 学识渊博 方面 的 巨人 时代 尼科 洛 马基雅 维里 正是 这个 伟大 时代 的 巨人 之一 他 是 意大利 佛罗伦萨 的 政治家 外交家 同时 也 是 一位 政治 思想家 同时 也 是 第一个 使 政治学 独立 同 伦理 家 彻底 分家 的 人 有 资产阶级 政治学 奠基人 之称 并且 是 历史 家 军事 著作者 诗人 和 剧作家 \r 在 作者 的 几部 学术 名著 中 君主 论是 最小 的 一部 但 也 是 最 有名 的 它 使 马基雅 维里 身后 获得 举世 周知 的 名声 
120584282,梁文道 刘瑜 熊培云许 知远 联袂 主编 理想国 译丛 MIRROR 系列 之一 005 保持 开放性 的 思想 和 非 功利 的 眼睛 看看 世界 的 丰富性 与 复杂性 本书 有 刘瑜 专文 导读 重读 福山 之二 重新 带回 国家 成功 的 现代 自由 民主制 将 强大 的 国家 法治 和 负责制 政府 三种 机制 结合 在 稳定 的 平衡 中 那么 这 三种 机构 最初 来自 何方 是 什么 力量 驱使 它们 诞生 又 在 何等 条件 下 得到 发展 建立 的 顺序 如何 彼此间 有何 关系 当代 最 重要 的 政治 思想家 之一 弗朗西斯 • 福山 为 我们 提供 了 一幅 今日 政治 机构 是 如何 从 历史 中 发展 出来 的 全面 画卷 政治 秩序 的 起源 第一卷 把 对 政治 秩序 的 探讨 向前 延伸 到 人类 的 灵长目 祖先 然后 依次 讲述 人类 部落社会 的 出现 第一个 现代 国家 在 中国 的 生长 法治 在 印度 和 中东 的 开始 一直 到 法国 大革命 前夕 问责制 政府 在 欧洲 的 发展 政治 秩序 的 起源 是 一次 严密 的 尝试 力图 通过 多 学科 的 综合 研究 形成 对 人类 历史 的 概览 建立 一个 理解 政治 制度 演化 的 宏大 框架 本书 第二卷 将 延伸 到 当代 敬请期待 
120584765,什么 是 父权制 当代 女性 又 是 如何 遭到 父权制 压迫 和 剥削 的 女性 解放 道 路在何方 本书 是 作者 历经 十年 完成 的 重要 作品 是 其 在 第二 波 女性主义 接近 尾声 后现代 女性主义 思潮 酷儿 理论 兴起 之初 对 女权主义 各个 派别 特别 是 马克思主义 女权主义 的 再次 思考 近代 社会 在 资本主义 支配 的 市场 和 父权制 支配 的 家庭 形态 双重 控制 下以 无偿 的 女性 劳务 等 为 中心 形成 了 女性 地位 低下 的 历史 根源 作者 对此 进行 了 深刻 批判 并 就 如何 改善 女性 的 社会 地位 提出 了 中肯 的 建议 本书 尽管 论述 的 是 日本 女性 的 地位 问题 但 其 观点 在 相当 大程度 上 适用 于 当下 中国 的 国情 因而 对于 任何 思考 女性 地位 与 男女平等 问题 的 人 都 有着 莫大 的 启发 
120585454,关于 中国 国家 的 治理 逻辑 本书 主要 沿着 两条 脉络 进行 探讨 一是 中央 权威 与 地方 政府 之间 的 关系 这 体现 在 各级 政府 体制 的 制度 设施 和 行为 方式 一是 国家 与 民众 之间 的 关系 这 体现 在 国家 与 社会群体 的 相互影响 上 本书 从 学术 上 推进 了 当前 国内 的 国家 治理 研究 并 为 社会科学 研究者 提供 了 一种 可以 参照 的 研究 路径 和 视角 
120592146,中国 历代 政治 得失 为 作者 的 专题 演讲 合集 分别 就 中国 汉 唐宋 明清 五代 的 政府 组织 百官 职权 考试 监察 财经 赋税 兵役 义务 等 种种 政治 制度 作 了 提要 勾玄 的 概观 与 比照 叙述 因革 演变 指陈 利害得失 既 高屋建瓴 地 总括 了 中国 历史 与 政治 的 精要 大义 又 点明 了 近现代 国人 对 传统 文化 和 精神 的 种种 误解 言简意赅 语重心长 实 不失为 一部 简明 的 中国 政治 制度 史 
120592659,这 本书 主要 探讨 群众运动 的 一些 共有 特征 重点 是 陷入 狂热 的 乌合之众 的 人格 长期 与 下层 民众 打交道 的 生活 经历 使 作者 发现 积极 投身 群众运动 的 往往 是 一些 失意者 他们 认为 自己 的 生活 已 无可救药 地 失败 渴望 逃离 自我 寻求 重生 将 生命 托付给 某项 神圣 伟业 让 他们 感觉 不错 整齐划一 的 集体生活 令 个人 的 责任 恐惧 无能 得以 掩埋 运动 的 领导者 则 刻意 培养 参与者 的 罪恶感 号召 自我牺牲 以 获救 赎自 1951 年 出版 后 狂热 分子 即 被 视为 社会科学 领域 的 经典之作 短期内 行销 50 万册 以上 被 译成 10 余种 语言 是 多所 大学 政治系 的 必读书 书中 俯拾皆是 充满 智慧 的 思想 火花 与 一针见血 的 比喻 风格 酷似 法国 思想家 蒙田 与 帕斯卡尔 的 随笔 至今 其佳言 警句 仍 不断 被 引用 辑录 
120593353,◎ 2003 年 美国 历史 学会 乔治 路易斯 比尔 奖 2003 年 东部 书 评奖 2004 年 美国 学会 乌克兰 研究 图书奖 获奖作品 ◎ 知名 政治 思想史 学者 塞缪尔 P 亨廷顿 国际 历史学 评论 外交事务 泰晤士报 文学 增刊 赞誉 推荐 内容简介 在 波兰 立陶宛 白俄罗斯 和 乌克兰 人们 可以 找到 所有 能 想象 到 的 造成 民族 冲突 的 原因 帝国 瓦解 不 具有 历史 合法性 的 国界线 挑衅 的 少数 族群 扬言 复仇者 恐惧 的 精英 人群 新 建立 的 民主 政治体制 种族 清洗 的 记忆 以及 长期 冲突 的 民族 迷思 维尔纽斯 维尔尼亚 抑或 维尔纳 在 本书 中 这些 指涉 着 同 一座 城市 的 区别 微妙 的 名字 以 看似 不动声色 的 方式 出现 在 同一个 句子 的 两端 它们 是 本书 所述 故事 的 背景 音符 指示 着 一整套 有关 我 是 谁 我 的 祖国 在 哪里 什么 是 民族 的 记忆 理念 和 话语 跨越 四个 世纪 四个 国家 通过 将 目光 落 在 这片 有着 复杂 民族 混居 背景 经历 过 极其 多元 的 政体 模式 被 几度 撕裂 乃至 摧毁 的 土地 上 斯奈德 试图 为 我们 揭示 民族 理念 转变 的 奥秘 追踪 概念 如何 被 解释 扭曲 发明 和 滥用 如何 在 与 更为 复杂 的 外部 力量 相互 衍生 的 过程 中 酿成 深重 苦难 又 焕发 出 崭新 光辉 更为重要 的 是 作者 试图 为 有关 通往 国家 的 路径 的 终极 问题 寻找 回答 我们 如何 才能 避免 这 条 路上 的 苦痛 经验 媒体 及 名人 推荐 民族 的 重建 对 东欧 民族 演化 中 的 微妙 性 复杂性 和 重重 矛盾 做 了 精彩 的 引人入胜 的 分析 若想 理解 发生 在 这个 世界 上 的 国家 崩溃 和 民族 建构 的 过程 本书 可谓 意义 深远 塞缪尔 P 亨廷顿 文明 的 冲突 与 世界秩序 的 重建 一书 作者 到 目前为止 在 有关 东北 欧 多元 文化 历史 的 英语 研究 作品 中 本书 是 独树一帜 的 斯奈德 向 我们 提供 了 关于 波兰 立陶宛 和 乌克兰 的 悠久 历史 的 有别于 传统 叙事 的 解读 探索 和 解释 了 民族 认同 的 议题 并且 没有 掉 进 民族主义 历史学 的 陷阱 之中 布赖恩 波特 密歇根 大学 历史系 教授 蒂 莫西 斯奈德 的 风格 令人 愉悦 地 提醒 我们 历史 写作 确实 可以 也 应该 在 文学 上 有所 追求 泰晤士报 文学评论 增刊 编辑 推荐 东欧 史 重量级 学者 蒂 莫西 斯奈德 独立 著作 首次 引进 欧美 学界 东欧 历史 及 民族主义 研究 的 代表性 作品 再造 民族 叙事 见证 想象 共同体 流变 中 的 残酷 与 光明 在 波兰 立陶宛 白俄罗斯 和 乌克兰 人们 可以 找到 所有 能 想象 到 的 造成 民族 冲突 的 原因 帝国 瓦解 不 具有 历史 合法性 的 国界线 挑衅 的 少数 族群 扬言 复仇者 恐惧 的 精英 人群 新 建立 的 民主 政治体制 种族 清洗 的 记忆 以及 长期 冲突 的 民族 迷思 这是 一次 有关 民族性 生成 的 重检 与 注疏 斯奈德 大胆 地 将 研究 对象 置于 四个 世纪 的 历史 演变 之间 从而 揭示 了 这条 道路 上 的 不同 走向 与 路径 超乎寻常 的 珍贵 一手 史料 叙事 精湛 的 学术 佳作 作者 通晓 东欧 诸国 6 种 语言 使得 本书 所引 第一手 材料 包罗万象 并 首度 在 英文 学术研究 中 完整 描述 了 19431947 年 乌克兰人 和 波兰人 相互 实施 的 种族 清洗 事件 全书 含 600 余条 脚注 另附 图像资料 和 表格 说明 斯奈德 的 写作 结构 缜密 又 清晰 易读 穿插 以 人物 线索 的 讲述 方式 带领 读者 走入 历史 的 关键 情境 战后 欧洲 史 的 有益 补充 全书 第三 部分 详尽 地 研究 了 二战 后 作为 东欧 成功 案例 的 波兰 如何 通过 精妙 而 及时 的 东部 政策 不仅 促成 了 与 乌克兰 立陶宛 等国 的 和解 还 达成 了 重返 欧洲 的 目标 成为 欧盟 成立 前夕 政治经济 和 社会 状况 的 旁证 是 民族主义 导致 了 种族 清洗 还是 种族 清洗 给 不同 人群 贴 上 了 民族 标签 现代 民族 观念 的 诉求 能否 找到 一种 更加 和平 的 表达方式 本书 正是 对于 以上 问题 的 一次 回应 的 努力 
120594144,这 本书 是 作者 过去 几年 给 一些 期刊 报纸 写 的 专栏 文章 结集 其中 主要 是 给 南方 人物周刊 的 文章 全书 中以 讲故事 的 形式 把 美国 的 民主 这样 一个 概念性 的 东西 拆解 成 点点滴滴 的 事件 政策 和 人物 去 描述 
120594858,社会契约论 是 一部 政治 哲学著作 它 探讨 的 是 政治权利 的 原理 它 的 主旨 是 为 人民 民主 主权 的 建立 奠定 理论 基础 它 的 问世 是 时代 的 需要 是 人类 社会 向前 进步 的 产物 它 正确 回答 了 历史进程 提出 的 问题 法国 命运 的 航船 驶向 何方 人类 是 幸运 的 人民 是 伟大 的 在 历史 发展 的 紧要关头 总 有人 指引 前进 的 道路 人民 总能 及时 做出 正确 的 抉择 在 18 世纪 的 法国 政治 思想 领域 里 存在 着 三种 改革 国家 政治 制度 的 学说 孟德斯鸠 主张 立宪 君主制 伏尔泰 主张 开明 的 君主制 而 卢梭 主张 民主 共和制 
120595495,为什么 同样 一个 人 可以 在 一个 国家 推行 善政 却 在 另 一个 国家 施行 最 残暴 的 独裁 在 这里 与其说 制度 是 答案 还 不如说是 问题 本身 为什么 比利时 的 制度 越来越 民主 而 同一 时期 同一 领导人 的 刚果 却 越来越 独裁 难道 是因为 利奥波德 二世 只爱 本国 人 或者 有 种族歧视 但 后来 刚果 自己 选出 来 的 领导人 并 没有 做 得 更好 仍然 是 一个 糟糕 的 独裁者 在 独裁者 手册 这 本书 里 梅斯 奎塔 和 史密斯 研究 多年 得出 了 一个 能够 相当 完美 地 解释 这一 政治 现象 的 理论 即 不管 是 国家 公司 还是 国际 组织 其 政治 格局 不能 简单 地以 民主 和 独裁 来 划分 而 必须 用 民意 选民 实际 选民 胜利 联盟 的 数字 多少 来 描写 如果 胜利 联盟 的 人数 很多 那么 这个 国家 就是 我们 通常 所说 的 民主 国家 反过来 如果 胜利 联盟 的 人数 非常少 那么 不管 这个 国家 有没有 选举 都 是 事实上 的 非 民主 国家 据此 很 容易 明白 在 刚果 利奥波德 二世 只 需要 让 少数 人 高兴 就 足以 维持 自己 的 统治 而 在 比利时 他 必须 让 很多 人 满意 才行 不得不 提对 任何 想 理解 政治 的 真正 运作 方式 的 人 来说 独裁者 手册 都 是 一本 必读 的 书 无论是 政治 领域 的 政治 还是 商业界 的 政治 无论是 在 独裁 国家 还是 在 民主 国家 
