id,abstract
2020060600051734,书为 国外 社会科学 创刊 40 周年 论文 精选 收录 1978 年 以来 国外 社会科学 刊发 过 的 优秀 有 代表性 的 论文 凸显 国外 社会科学 注重 哲学 社会科学 研究 的 新 领域 新 思潮 新 学科 新 流派 的 特点 以及 总览 世界 思想 风云 关注 境外 学科 发展 动态 把握 国际 理论 创新 脉搏 评析 全球 学术 热点 和 方向 态势 的 办刊 理念 并 以此 彰显 40 年来 中国 哲学 社会科学 的 发展 繁荣 历程 本 论文集 按 学科 方向 分为 八卷 本册 其中 的 社会科学 总论 卷 
2020060600051735,本书 立足于 当代 中国 农村 实际 运用 话语分析 和 国家 与 农民 关系 分析 框架 对 反映 70 多年 来 中国 农村 变化 的 40 余个 关键词 进行 探讨 力图 在 重现 中国 农村 历史性 变 迀 和 跳跃性 变化 的 同时 使 我们 能够 更好 地 理解 和 研究 当代 中国 农村 发展 的 演变 规律 
2020060600051736,职业 社会学 是 社会学 的 重要 分支 它 是 系统 研究 职业 行为 职业 过程 与 职业 群体 的 社会学 新兴学科 本书 梳理 了 职业 社会学 重点 领域 的 核心 概念 基本 理论 介绍 了 前沿 进展 同时 注意 与 现实生活 的 密切 结合 主要 议题 包括 职业生涯 职业 地位 职业 声望 职业 流动性 职业 角色 雇主 职业 结构 职业 酬劳 职业指导 和 职业 管理 等 
2020060600051737,本书 基于 广东省 安徽省 和 陕西省 65 个 村庄 的 实地 调研 资料 研究 了 新 中国 成立 以来 农民 在 环境污染 中 的 利益 表达 现象 主要 内容 包括 农民 环境 利益 表达 的 原因 与 方式 历程 与 特点 农村 社会变迁 地方性 文化 与 农民 环境 利益 表达 地方 政府 与 农民 环境 利益 表达 农民 在 环境 利益 表达 中 的 失败 与 沉默 成功 与 意蕴 以及 乡村 振兴 背景 下 农民 环境 利益 表达 与 生态 宜居 乡村 建设 等 问题 在 社会学 层面 对 我国 农民 环境 利益 表达 问题 进行 了 多方位 的 分析 与 解读 
2020060600051738,中国 农业 人类学 的 使命 是 用 人类学 知识 体系 以 传统 的 中华 农耕 文明 为 背景 探索 乡土 社会 的 内部 规律 包括 天地人 和 宗法社会 土地 伦理 小农经济 耕读 传家 等 特别 是 在 社会转型 的 今天 配合 乡村 振兴 寻求 中华 社稷 推展 中 的 文化 和 历史 法则 本书 基于 对 这 一 概念 的 理解 在 收集 梳理 古今 文献 和 田野 调查 的 基础 上 力图 从 乡土 社会 农仪 农艺 城乡 多维 乡村 振兴 等 方面 以 人类学 的 方法论 解释 和 呈现 中国 特有 的 农之道 
2020060600051739,本书 以 社会福利 理论 为 基础 从 历史 演变 政策 法律 服务体系 家庭 福利 财政 等 角度 较为 系统地 介绍 了 美 英法德 等 世界 主要 发达国家 的 现代 家庭 福利制度 有关 内容 对二孩 时代 如何 建构 中国 特色 现代 家庭 福利 政策 框架 与 服务体系 具有 参考 借鉴 作用 
2020060600051740,本书 超越 已有 的 一般化 理论 假设 和 单纯 的 宏观 制度 变量 研究 构建 了 一个 更具 逻辑性 解释性 和 科学性 的 系统 理论 框架 在 学界 既有 研究成果 的 基础 上将 社会 组织 的 制度 环境 分成 宏观 制度 环境 微观 制度 环境 和 制度 执行 环境 认为 制度 环境 对 社会 组织 活力 的 影响 经由 三大 组成部分 的 影响 来 发挥作用 为 激发 社会 组织 活力 需要 从 优化 宏观 制度 环境 微观 制度 环境 以及 制度 执行 环境 三个 层面 着手 加强 三个 层面 的 协同 性 
2020060600051741,作为 国内 第一部 对 青少年 手机游戏 成瘾 这一 社会 问题 进行 系统性 研究 的 专著 本书 在 回顾 国内外 手机游戏 产业 发展 简史 的 基础 上 对 青少年 手机游戏 成瘾 的 影响 因素 影响 效应 以及 干预 体系 进行 了 全面 深入 的 研究 
2020060600051742,概括 是 重要 的 社会科学 研究 方法 在 一个 信息 普遍化 的 活动 日益频繁 的 世界 概括 比 以往 更 有 必要 然而 社会科学 领域 是否 一定 存在 普适性 原则 概括 是否 一定 可行 它 又 该 如何 进行 在 本书 收录 的 文章 中 学者 们 以严 逋 的 态度 缜密 的 论述 展示 这一 研究 方法 的 多个 维度 对此 给出 了 不同 的 答案 
2020060600051743,本书 通过 对 马克思主义 关于 人 的 发展 理论 人 的 管理 理论 和 习近平 总书记 关于 人才 工作 重要 论述 等 重要 思想 的 梳理 围绕 新 时代 人才 发展 问题 在 系统分析 人 的 发展 自我管理 和 人才 管理 与 发展 等 要素 基础 上 系统阐述 了 自我管理 与 人才 发展 的 内在 关系 和 外 在 联系 从 个人 社会 组织 文化 四维 要素 架构 层面 对 自我管理 和 人才 发展 问题 进行 了 探讨 从 坚持 人才 是 第一 资源 理念 牢固 树立 正确 人才 政绩观 创设 激发 主体 间性 思维 融合 推进 四维 要素 四个 方面 提出 相应 了 对策 建议 结合 当前 中国 社会 发展 面临 的 形势 和 任务 提出 新 时代 自我管理 与 人才 发展 的 趋势 与 前景 为 人才 的 自我管理 和 发展 提供 有益 的 借鉴 和 启示 
