id,abstract
2080,在 唐伯虎 点秋香 中 化身 江南 第五 大 才子 挥洒 文采 撩妹 秋香 凭借 功夫 中 学习 到 的 一套 从天而降 的 掌法 在 侏罗纪 公园 吊打 凶狠 的 霸王龙 在 木乃伊 中 组成 木乃伊 大军 去往 生化危机 横扫 冷血 残酷 的 丧尸 当 李晓 又 不 小心 抢 了 一个打 虎 技能 的 红包 但是 要 去往 金瓶梅 世界 中 才能 兑换 的 时候 他 不禁 犹豫 了 
13204,不知 何时 起 世界 上 多出 了 一种 连通 着 各个 异位 面 的 神秘 区域 幻境 在 这里 你 可以 得到 着数 之 不尽 的 财富 风情 各异 的 美人 还有 那 足以 毁天灭 地 的 强大 力量 无数 追寻着 梦想 与 野心 的 人们 来到 这里 有人 欢笑 有人 哭泣 有人 活着 有人 死去 这里 是 强者 的 乐园 这里 是 弱者 的 地狱 而 我们 的 故事 要 从 一个 身负 全 幻境 最为 神秘 的 EX 级 血统 的 年轻人 重生 回 七年 前 的 那一刻 开始 
45063,系统 积分 能 兑 钱 吗 不能 干 那 我 要 你 何用 本 系统 能 让 你 当 上学 霸 全人类 的 爸爸 那种 你 还要 钱 有 什么 用 
45064,1V1 算命先生 说 唐 绾 注孤生 她 不信 她 有钱 有颜 怎么 会 嫁不出去 结果 她 谈 了 99 个 男朋友 每个 都 在 一个月 内 找到 了 真 爱 甩 了 她 最后 一个 还 在 结婚 当天 跟 别的 女人 跑 了 唐 绾 表示 不服 随手 拉个 男人 结婚 却 直接 翘辫子 了 然后 被 绑定 了 一个 爸爸 系统 爸爸 系统 想要 一个 完美 老公 吗 不要 998 不要 888 只要 绑定 我 爸爸 系统 完美 老公 给 你 送到 家唐 绾 爸爸 EXM 爸爸 系统 羞涩 闺女 你好 叫 爸爸 你 想要 什么样 的 女婿 都 给 你 ! 绑定 系统 后唐 绾 只 想 掐死 系统 说好 的 完美 老公 这些 性子 歪曲 的 男人 谁 敢 要 啊 这 不是 在 坑 我 爸爸 系统 
45065,千禧年 马克 独自 站 在 坐落于 曼哈顿 格 星辰 大厦 顶层 的 公寓 落地窗 面前 手握着 一杯 波本 威士忌 庆祝 自己 的 三十岁 的 到来 有个 自己 把 自己 掰 歪 的 弟弟 有个 从小 就 励志 要 当 修女 最后 跑 去 当 明星 的 妹妹 还有 一个 刚刚 觉醒 了 自己 中 二 天赋 吵 着 要 和平 普通 人类 的 小妹妹 有车有房 事业 更是 被 马克 做到 了 极致 联邦调查局 纽约 办公室 主管 探员 按照 道理 来说 马克 应该 很 满足 这样 的 生活 状态 只是 有 一个 问题 这里 是 漫威 宇宙 书友 群 : 839133305 
45066,一 觉醒 来 罗素 脑海中 就 多出 了 一个 可以 穿梭 诸天 世界 的 系统 杀手 怪兽 女巫 异形 魔鬼 神明 无限 的 世界 有 无限 的 可能 亦 有 无限 的 历险 而 踏破 无限 之 人 必将 留下 属于 自己 的 传说 从 平凡 到 不朽 在 诸天 的 道路 上 寻觅 尽头 看着 永 无止尽 的 道路 罗素 摸 着 系统 的 狗头 他 手里 只有 抽奖 得来 的 卡片 有点 慌 
45067,系统 认为 它 一定 是 遇到 了 一个 假 宿主 怎么 别人 家 的 宿主 都 是 聪明伶俐 冷静 理智 可是 自己 的 宿主 却是 坑蒙拐骗 无恶 不 做 每天 除了 坑 它 剩下 的 时间 都 是 坑 别人 系统 宿主 原主 遗愿 是 当 皇后 你 把 皇帝 杀 了 还 成个 屁 的 皇后 呀 云初 没关系 我 可以 自己 养 一个 皇帝 然后 嫁给 他 系统 宿主 你 这 又 是 在 干嘛 云初 老子 都 还 没有 男人 他们 凭 什么 在 一起 不爽 系统 表示 心 很 累 绑定 了 一个 有 毛病 的 宿主 终于 有 一天 系统 表示 要 反击 了 系统 宿主 有 一个 支线 任务 奖励 是 一万 积分 云初 哦 做 啥 系统 脱 他 裤子 云初 有点 方 没想到 你 是 这样 的 系统 系统 
45068,新书 史上 最强 万界 掠夺 已 发布 穿梭 于 无尽 世界 之中 神雕 世界 中习 武练 剑 僵尸 先生 世界 习法入 道 画 江湖 位面 与 李 星云 争夺 天下 精绝 古城 中踏 冰川 入 沙漠 只 为 寻找 那 消失 千年 的 精绝 古城 他 收服 饕餮 抢夺 异能 锁 挑战 银河 眼 的 霸权 只 为 追寻 那 宇宙 中 未知 存在 的 彩虹 海超 神学院 中 他 吊打 所谓 的 神权 统治者 武庚 记中 他 藐视 神族 与 天 针锋 叶天 孙悟空 我 该 叫 你 斗 战胜 佛 还是 齐天大圣 孙悟空 我本 齐天 何来 斗战 叶天 与 天斗 其乐无穷 与 地斗 其乐无穷 与 人斗 其乐无穷 与 那 漫天 神佛 斗其乐 
45069,1V1 苏宠 甜 文身 为颗 先天不足 的 蛋 官筱琬 为了 破壳 只能 穿梭 三千 世界 撩遍 各色 美男 闷骚 影帝 狼狗 校霸 病娇 上 神电 竞 大神 偏执 哥哥 等等 这些 男神 怎么 都 货 不 对 板 说好 的 禁欲 系高岭 之花 他们 这 根本就是 食人花 吧 官筱琬 欲哭无泪 的 想要 爬 回 她 的 蛋壳 里 却 被 一把 揪住 了 小尾巴 小 乖乖 撩 了 就 想 跑 可是 会 被 吃掉 的 呢 男人 在 她 耳边 轻笑 道 
45070,看腻 了 刀光剑影 鼓角 争鸣 或者 可以 品尝 一下 社会底层 草根 的 艰苦 营生 本书 讲述 的 是 穿越 大明 落魄 寒门 的 沈溪 在 这个 万般皆下品 惟有 读书 高 的 年代 用 他 的 努力 一步步 改变命运 终于 走上 人生 巅峰 天子 2016 历史 巨献 值得 您 拥有 
