id,abstract
6763361,中华人民共和国 成立 以后 中国 经济 走上 独立自主 的 发展 道路 分别 在 不同 阶段 上 进行 了 艰辛 的 探索 积累 了 成功 的 经验 和 有益 的 教训 最终 在 改革开放 条件 下 取得 举世瞩目 的 成就 创造 了 史无前例 的 发展 奇迹 也 对 世界 经济 发展 做出 了 显著 的 贡献 中国 经济 以 世界 同期 最快 的 增长速度 以及 不断扩大 的 总 规模 发挥 了 世界 经济 发动机 和 稳定器 的 作用 为 广大 发展中国家 提供 了 弥足珍贵 的 经验 分享 与 智慧 借鉴 中国 经济 探索 中 所 体现 的 具有 共性 的 发展 规律 以及 把 一般 规律 与 特殊 国情 相结合 的 方法论 为 修正 丰富 和 创新 经济 理论 提供 了 有益 的 素材 尤其 有助于 推动 发展经济学 的 复兴 面向 两个 一百年 目标 中国 经济 正 从 中等偏上 收入 阶段 迈向 高 收入 阶段 更 高水平 的 改革 开 
7175950,无论 什么样 的 宏观经济 分析 都 需要 有 一个 理论 框架 有些 是 明确提出 的 有些 是 隐含 的 好 的 宏观 分析 至少 是 在 理论 逻辑 自洽 基础 上 对 现实 有 较 好 的 解释 力而差 的 分析 往往 是 就事论事 似乎 是 抓住 了 重点 但 由于 其 理论 逻辑 是 自相矛盾 的 所以 经不起 推敲 宏观 分析 还 涉及 未来 预测 历史 经验 告诉 我们 任何 理论 模型 的 预测 都 可能 出错 比 水晶球 可能 也好 不了 多少 甚至 出大错 如 根本 没有 预测 到 大 危机 因此 在 预测 方面 经济学家 需要 保持足够 的 谦卑 宏观经济 理论 及其 分析 框架 更 多 是 关联 分析 结构 分析 机理 分析 宏观经济 分析 范式 并非 只有 一种 事实上 自 20 世纪 40 年代 宏观 经济学 在 经济学 文献 中 出现 以来 传统 凯恩斯主义 以及 后来 的 新古典主义 
7441115,中国社会科学院 中国 舆情 调查 实验室 2013 年 成立 时 确定 了 一个 10 年 计划 按 5 年 为期 分为 上下 两场 前 5 年 重点 是 基础 建设 截至 2018 年 共 完成 了 以下 几 方面 工作 1 建立 全国 舆情 调查 在线 概率 样本 库 和 舆情 监测 系统 2 组建 中国 舆情 调查 与 研究 联盟 由 包括 人民网 新华网 腾讯 百度 新浪 字节 跳动 中国人民大学 等 在内 的 26 家 机构 组成 搭建 舆情 研究 合作 平台 3 开展 中国 舆情 指数 系列 调查 和 国际 舆情 指数 调查 并 定期 发布 成果 4 出版 舆情 研究 国家 智库 报告 系列 如 中国 舆情 指数 报告 宜居 中国 发展 指数 报告 微 传播 指数 报告 旅游 扶贫 指数 报告 等 从 2019 年 开始 中国 舆情 调查 实验室 的 研究 工作 按照 规划 
7475222,2013 年秋 习近平 主席 西行 哈萨克斯坦 南下 印度尼西亚 先后 提出 丝绸之路 经济带 和 21 世纪 海上 丝绸之路 重大 倡议 6 年 多来 一带 一路 倡议 由 理念 化为 行动 从愿景 变成 现实 结出 了 累累硕果 一带 一路 倡议 源于 对 历史 智慧 的 充分 汲取 更是 对 时代 呼声 的 自觉 回应 几千年 来 古老 的 丝绸之路 回荡 的 声声 驼铃 飘飞 的 袅袅 孤烟 见证 了 灿烂辉煌 的 历史 伟业 诞育 了 鉴古通 今 的 丝路 精神 一带 一路 倡议 以史为镜 秉持 和平 合作 开放 包容 互学 互鉴 互利 共赢 理念 坚持 共商 共建 共享 原则 以 政策 沟通 设施 联通 贸易 畅通 资金 融通 民心 相通 为 主要 内容 已经 成为 推动 构建 人类 命运 共同体 的 重要 实践 平台 为 各国 携手 应 
7597472,本 文集 收录 了 我 回国 后 撰写 的 有关 中国 宏观经济 形势 和 宏观经济 政策 的 主要 文章 主要 包括 两个 方面 一是 对 中国 宏现 经济 中 短期 变化趋势 的 判断 二是 对 中国 宏观经济 的 一些 争议 问题 的 理论 探讨 在 整理 自己 横跨 20 多年 的 讨论 宏观经济 形势 和 政策 文章 的 过程 中 我 突然 发现 当前 学界 所 争论 的 许多 重要 宏观经济 问题 在 20 多年 前 就 已经 争论 过 了 许多 观点 其实 在 20 多年 前 就 说 过 了 而且 所用 的 语言 也 几乎 同 现在 完全 一样 这种 感觉 源于 宏观经济 自身 的 重复性 尽管 每次 周期 都 不尽相同 但 模式 是 相同 的 这样 研究 宏观 经济史 宏观经济 调控 史 检讨 自己 过去 说 对 了 什么 说错 了 什么 原因 是 什么 对 年轻 经济学 人 不犯 或少犯 我们 这些 过来人 所犯 的 错误 
7611146,本书 是 国家 社科 基金 特别 委托 项目 世界 社会主义 与 资本主义 前途 命运 暨 当代 国际形势 研究 的 阶段性 成果 之二 收录 了 课题组 关于 世界 金融危机 及 相关 问题 的 研究成果 2007 年 美国 爆发 的 次贷 危机 引发 了 美国 2008 年 金融危机 进而 引发 了 世界性 金融危机 乃至 经济危机 这场 危机 爆发 距今 已经 十余年 了 导致 资本主义 全面 衰退 资本主义 头号 强国 美国 实力 全面 下降 曾几何时 当 东欧 剧变 苏联 解体 之际 美国 学者 提出 历史 终 结论 宣扬 社会主义 及其 意识形态 已经 灭亡 一瞬间 资本主义 政治家 思想家 大唱 资本主义 千年 万岁 的 赞歌 苏东 蜕变 不到 三十年 突如其来 然而 又 是 必然 而 至 的 世界 金融危机 打破 了 资本主义 千年 王国 的 梦幻 纵观 改革开放 的 中国 却 
7650217,被 世界卫生组织 命名 为 COVID19 的 新型 冠状病毒 肺炎 演变 为 全球 范围 的 大 流行 pandemic 覆盖 几乎 世界 上 所有 的 国家 和 地区 感染 人数 已经 以 百万计 成为 一起 百年不遇 的 公共卫生 危机 疾病 大 流行 总会 带来 巨大 的 经济 冲击 使 单个 国家 和 世界 整体 的 正常 发展 偏离 既定 的 轨道 对 经济社会 造成 严重 的 伤害 无论是 应对 大 流行 本身 还是 实现 中国 经济 的 复苏 都 必须 从 认识 上 战略 上 和 措施 上 立足于 持久战 本书 考察 了 新型 冠状病毒 肺炎 疫情 全球 大 流行 对 中国 经济 不同 方面 的 影响 从 需求 和 供给 两 方面 分析 了 三农 工作 产业 和 供应链 就业 和 民生 中国 经济 与 世界 经济 相互影响 对 公共卫生 和 风险 防控 的 含义 等 问题 
7762460,2019 年 国际 政治经济 形势 进一步 趋向 复杂 世界 经济 增长 低于 预期 大国 地缘 政治 博弈 持续 升温 全球 经济 治理 步履维艰 中国 既 要 应对 贸易 保护主义 的 冲击 稳定 国内 经济 贸易 增长 又 要 推进 区域 和 全球 经济 合作 助力 世界 经济 持续增长 在 此 背景 下 中国 经济 外交 负重 前行 在 全球 区域 及 双边 层面 均 取得 一定 成果 继续 坚持 以 实际行动 捍卫 以 规则 为 基础 的 全球 贸易 体系 利用 多边 经济 合作 平台 深化 与 其他 国家 的 互利 合作 抓住 新 科技 革命 机遇 为 世界 经济 增长 提供 动力 基于 此 本书 力求 回顾 梳理 和 分析 2019 年 中国 经济 外交 的 重要 事件 和 主要 进展 其中 特别 探讨 了 中美 经贸 谈判 和 一带 一路 建设 这 两条 经济 外交 主线 本书 分为 年度报告 专题报告 月度 
7782113,一 撰写 中国 产业结构 演变史 19492019 的 意义 就 我国 学界 来看 关于 产业 经济学 的 著作 已 问世 多年 但 研究 产业结构 史 的 著作 迄今 尚未 见到 这个 学科 空白 亟须 填补 习近平 总书记 指出 历史 研究 是 一切 社会科学 的 基础 6611711 显然 这个 原理 对于 产业结构 演变史 研究 也 是 完全 适用 的 对 产业结构 演变史 的 研究 不仅 是 进一步 发展 产业 经济学 的 基础 而且 由于 它 是 整个 经济史 研究 的 重要 组成部分 因而 对于 进一步 发展 经济史 研究 和 经济学 的 研究 也 都 是 必要 的 按照 笔者 的 体会 这 也 是 习近平 总书记 提出 的 中国 哲学 社会科学 要 不断 推进 学科 体系 学术 体系 话语 体系 建设 和 创新 6611712 的 要求 正是 基于 这样 的 考虑 笔者 试图 在 这方面 
7796886,主 \u3000 编魏 后凯 杜志雄 副主编 苑 \u3000 鹏于 法稳 崔红志编 \u3000 委按 拼音 排序 包晓斌 陈永福 崔红志 崔 \u3000 凯董 \u3000 翀 杜志雄 冯 兴元 郜亮 亮 韩 \u3000 磊 韩昕儒 胡 冰川 黄超峰 来晓东 李国祥 刘长 全芦 千文 罗万纯 年 \u3000 猛 彭 \u3000 华秦 \u3000 轲 孙若梅 孙同 全谭 清香 谭 秋成 檀学 文王 \u3000 宾王术 坤 王 \u3000 瑜 魏后凯 杨 \u3000 穗于 法 稳苑 \u3000 鹏 张瑞娟 张延龙 赵会杰 赵 丽丽 朱文 博魏 后凯 经济学 博士 中国社会科学院 农村 发展 研究所 所长 研究员 博士生 导师 第十三届 全国人大 农业与农村委员会 委员 兼任 中国社会科学院 城乡 发展 一体化 智库 常务 副理事长 中国 城郊 经济 研究会 中国 林牧 渔业 经济学 会 会长 中央 农办 农业 农村部 民政部 北京市 
