id,abstract
120270229,经济学 原理 第 5 版 : 微观 经济学 分册 是 世界 上 最 流行 的 经济学 教材 其 英文原版 现已 被 哈佛大学 耶鲁大学 斯坦福大学 等 美国 600 余所 大学 用作 经济学 原理 课程 的 教材 迄今为止 它 已 被 翻译成 20 种 语言 在 全世界 销售 100 多万册 经济学 原理 第 5 版 : 微观 经济学 分册 前 四版 的 中译本 自 1999 年 出版 以来 也 一直 是 国内 选用 最多 最 受欢迎 的 经济学 教材 在 继续 保持 条理清晰 易于 理解 的 写作 风格 基础 上曼昆 教授 在 第 5 版中 对 全书 36 章 都 做 了 精心 修订 同时 也 更新 了 大部分 新闻 摘录 和 部分 案例 研究 此外 为 帮助 教师 进行 课堂 设计 和 课堂 讲解 本版 还 极大 地 丰富 了 教辅 资源 
120271502,此 经济学 原理 的 第 3 版 把 较 多 篇幅 用于 应用 与 政策 较 少 篇幅 用于 正规 的 经济 理论 书中 主要 从 供给 与 需求 企业 行为 与 消费者 选择 理论 长期 经济 增长 与 短期 经济波动 以及 宏观经济 政策 等 角度 深入浅出 地 剖析 了 经济学家 们 的 世界观 
120272074,亚当斯 密 并 不是 经济学说 的 最早 开拓者 他 最 著名 的 思想 中有 许多 也 并非 新颖 独特 但是 他 首次 提出 了 全面 系统 的 经济学说 为 该 领域 的 发展 打下 了 良好 的 基础 因此 完全 可以 说 国富论 是 现代 政治经济学 研究 的 起点 国富论 远远 不是 一部 通常 所 认为 的 学术论文 虽然 斯密 也 劝说 放任 自由 但 他 的 论证 却 更 多 地 是 反对 政府 干预 和 反对 垄断 虽然 他 赞扬 贪欲 的 结果 却 又 几乎 总是 鄙视 商人 的 行为 和 策略 他 也 不 认为 商业 制度 本身 是 完全 值得 赞美 的 
120272651,纽约时报 2011 年度 十大 好书 新书 上市 连续 20 多周 蝉联 亚马逊 纽约时报 畅销书 排行榜 前 20 名 上市 至今 超过 7 个 月 横扫 全球 各大 畅销书 排行榜 稳居 亚马逊 总榜前 50 名 经济学 人 华尔街日报 卫报 纽约时报 金融时报 商业 周刊 华盛顿邮报 等 国外 权威 媒体 三联 生活 周刊 商学院 东方 早报 等 国内 知名 媒体 争相 报道 国内外 读者 好评 如潮 人类 究竟 有 多 理性 思考 快 与 慢 在 书 中卡尼曼会 带领 我们 体验 一次 思维 的 终极 之旅 他 认为 我们 的 大脑 有 快 与 慢 两种 作 决定 的 方式 常用 的 无意识 的 系统 1 依赖 情感 记忆 和 经验 迅速 作出 判断 它 见闻广博 使 我们 能够 迅速 对 眼前 的 情况 作出反应 但 系统 1 也 很 容易 上当 它 固守 眼见 即 为 事实 的 原则 任由 损失 厌恶 和 乐观 偏见 之类 的 错觉 引导 我们 作出 错误 的 选择 有意识 的 系统 2 通过 调动 注意力 来 分析 和 解决问题 并 作出 决定 它 比较慢 不 容易 出错 但 它 很 懒惰 经常 走捷径 直接 采纳 系统 1 的 直觉 型 判断 结果 为了 使 读者 真切 体会 到 系统 1 和 系统 2 这 两个 主角 的 特点 卡尼曼 介绍 了 很多 经典 有趣 的 行为 实验 指出 我们 在 什么 情况 下 可以 相信 自己 的 直觉 什么 时候 不能 相信 指导 我们 如何 在 商场 职场 和 个人 生活 中 作出 更好 的 选择 以及 如何 运用 不同 技巧 来 避免 那些 常常 使 我们 陷入 麻烦 的 思维 失误 本书 将会 彻底改变 你 对 思考 的 看法 编辑 推荐 50 年前 人们 以为 我们 能 驾驭 自己 的 思想 但 事实上 我们 的 行为 常常 受到 许多 无法 看见 的 因素 所 影响 我们 虽然 身处 生活 这场 游戏 之中 但 对 游戏 的 机制 却 不 理解 偏见 常常 导致 我们 追求 错误 的 东西 我们 的 感知 和 记忆 并 不 可靠 对于 自己 心理 状态 的 感知 和 记忆 尤其 不 可靠 关于 人类 自身 还有 许多 未知 之谜 对于 自己 我们 了解 得 其实 不多 卡尼曼 就 如 思想 的 拓荒者 他 的 研究成果 为 我们 认识 自我 提供 了 重要 的 支点 卡尼曼 对于 人类 思考 和 选择 的 理解 所 作出 的 贡献 无人 能出 其右 作为 历史 上 最 重要 的 一位 心理学家 卡尼曼 重塑 了 认知 心理学 理性 和 因果关系 分析 重新 诠释 了 风险 重新 阐释 了 幸福 和 财富 的 关系 写 就 了 这部 杰作 如果 你 今年 只能 读一 本书 就读 这 一本 吧 媒体 和 专家 热评 这 是 社会 思想 的 一部 里程碑式 著作 堪 与 亚当 • 史密斯 的 国富论 和 西格蒙德 • 弗洛伊德 的 梦 的 解析 相媲美 纳西 姆 • 尼古拉斯 • 塔勒 布 黑天鹅 作者 本书 是 一位 智慧 巨人 的 力作 可读性 强 睿智 深刻 赶紧 买 慢慢 读 而且 要 反复 读 这 本书 会 改变 你 的 思考 方式 读 了 它 你 对 工作 世界 还有 自己 的 生活 的 看法 都 会 改变 理查德 • H • 泰勒 芝加哥大学 经济学 教授 助推 作者 本书 堪称 杰作 由 我们 这个 时代 最 伟大 最 深邃 的 一位 思想家 推出 的 恢弘 巨作 闪耀着 智慧 的 光芒 卡尼曼 在 获得 诺贝尔奖 之后 应该 再 得 一个 普利策 奖才 对 丹尼尔 • 吉尔伯特 哈佛大学 心理学 教授 哈佛 幸福 课 作者 丹尼尔 • 卡尼曼 是 我们 这个 时代 最有 独创性 最 有趣 的 思想家 之一 也许 我们 这个 星球 上 再 无 第二个 人比 他 更 懂 我们 怎样 作出 选择 为什么 这样 选择 了 在 这本 精彩绝伦 的 书 中 他 用 一种 简单 而 又 吸引 人 的 方式 为 我们 展示 了 令人 受益 一生 的 智慧 尽管 方式 简单 其 内容 却 十分 深刻 本书 是 所有 怀有 好奇 之心 的 人 的 必读 之作 史蒂文 • 列 维特 芝加哥大学 杰出 经济学 教授 魔鬼 经济学 与 超爆 魔鬼 经济学 作者 一本 杰出 的 著作 细节 清晰 文笔优美 诠释 精准 娓娓道来 它 适合 于 所有 系统 2 还 没有 完全 失效 的 人 阅读 卫报 这 本书 的 内容 非常 丰富 深入浅出 知识 渊博 充满 学术 价值 和 自助 价值 人类 的 思考 有 如此 多 的 缺陷 以至于 纽约时报 的 专栏作家 戴维 • 布鲁克斯 撰稿 声称 卡尼曼 和 
120275477,在 发现 澳大利亚 的 黑天鹅 之前 欧洲人 认为 天鹅 都 是 白色 的 黑天鹅 曾经 是 他们 言谈 和 写作 中 的 惯用语 用来 指 不 可能 存在 的 事物 但 当 第一 只 黑天鹅 出现 时 这个 不可动摇 的 信念 崩溃 了 黑天鹅 的 存在 寓示 不可 预测 的 重大 稀有 事件 它们 常常 带来 意料之外 的 重大 冲击 但 人们 总是 视而不见 并 习惯于 以 自己 有限 的 生活 经验 和 不堪一击 的 信念 来 解释 它们 最终 被 现实 击溃 从 金融危机 到 四川 大 地震 从 泰坦尼克号 的 沉没 到 911 恐怖袭击 事件 黑天鹅 存在 于 各个领域 无论 金融市场 商业 经济 还是 个人 生活 都 逃不过 它 的 控制 黑天鹅 : 如何 应对 不可 预知 的 未来 升级版 全新 校订本 深入 介绍 了 黑天鹅 事件 的 本质 和 规律 发掘出 我们 所 不 知道 的 事情 背后 的 真正 价值 教会 我们 如何 认识 这个 社会 的 运行 方式 如何 避免 小 概率 事件 带来 的 重大损失 如何 在 不 确定 的 世界 中 占 得 先机 由 纳西 姆 尼古拉斯 塔勒 布 编著 的 黑天鹅 出版 后 震惊 世界 的 黑天鹅 事件 金融危机 随即 爆发 在 出版 3 年 后 作者 经过 3 年 沉淀 与 思考 增加 全新 后记 深刻 分析 黑天鹅 理论 在 现代 社会 的 应用 以及 我们 如何 真正 地 评估 并 利用 黑天鹅 带来 的 机会 以 从中 受益 黑天鹅 必将 颠覆 我们 惯常 的 思维 让 你 重新 把握 自己 的 命运 
120280018,这是 一本 投资 实务 领域 的 世界级 和 世纪 级 的 经典著作 自从 1949 年 首次 出版 以来 本书 即 成为 股市 上 的 圣经 本 修订版 在 完整 保留 格雷厄姆 原著 1973 年 第 4 版 的 基础 上 由 贾森 • 兹 威格 根据 近 40 年 尤其 是 世纪之交 全球股市 的 大 动荡 现实 进一步 检验 和 佐证 了 价值 投资 理论 其中 大量 的 注释 和 每章 之后 的 点评 非常 有 价值 股神 巴菲特 特为 本书 撰写 的 序言 和 评论 是 这个 版本 的 又 一个 亮点 本书 首先 明确 了 投资 与 投机 的 区别 指出 聪明 的 投资者 当 如何 确定 预期 收益 本书 着重 介绍 防御型 投资者 与 积极 型 投资者 的 投资 组合 策略 论述 了 投资者 如何 应对 市场 波动 本书 还 对 基金 投资 投资者 与 投资 顾问 的 关系 普通 投资者 证券 分析 的 一般 方法 防御型 投资者 与 积极 型 投资者 的 证券 选择 可 转换 证券 及 认股权证 等 问题 进行 了 详细 阐述 在 本书 后面 作者 列举 分析 了 几组 案例 论述 了 股息 政策 最后 着重 分析 了 作为 投资 中心思想 的 安全性 问题 本书 主要 面向 个人 投资者 旨在 对 普通人 在 投资 策略 的 选择 和 执行 方面 提供 相应 的 指导 本书 不是 一本 教 人 如何 成为 百万富翁 的 书籍 而 更 多 地 将 注意力 集中 在 投资 的 原理 和 投资者 的 态度 方面 指导 投资者 避免 陷入 一些 经常性 的 错误 之中 
120281384,"内容简介 "" 在 人们 通常 的 意识形态 中 中国 没有 发生 过 经济危机 也 不 可能 发生 经济危机 最 多 只能 算是 经济波动 而 不能 算是 危机 但 作者 认为 中国 不仅 发生 过 经济危机 而且 中国 自 建国以来 的 六十年 间 已经 发生 了 8 次 经济危机 而 这些 危机 均 与 国家 工业化 阶段性 特征 有关 在 城乡 二元 对立 的 基本 体制 矛盾 约束 下 工业化 城镇化 以及 整个 体制 的 改革 所 产生 的 制度 成本 均 向 三农 转嫁 因而 城市 的 产业资本 就 可以 实现 软着陆 原有 体制 得以 维持 而 不能 直接 向 农村 转嫁 的 危机 就 导致 产业资本 在 城市 硬着陆 引发 政府 财税 金融 乃至 整个 经济体制 的 重大 变革 中国政府 已经 认识 到 三农问题 对 整个 国民经济 的 重要 作用 于是 在 2005 年 把 新 农村 建设 作为 国家 战略 连续 增加 数万 亿 投资 以 吸纳 数千万 非农 就业 的 举措 最后 成功 地 应对 了 2009 年 全球 经济危机 实现 了 软着陆 本书 的 主要 观点 是 金融 海啸 引发 的 全球 危机 不仅 是 金融 化 泡沫经济 所 引起 的 也 是 由 内含 高 成本 上推 机制 的 西方 现代 政体 在 累积 了 大量 的 国家 负债 后 产生 的 因此 中国 人应 引以为戒 加深 对 资本主义 危机 规律 及其 引发 的 内部 乱 像 和 外部 地缘 政治 法西斯化 倾向 的 认识 只有 复兴 生态 文明 维持 乡土 社会 内部化 来 应对 外部性 风险 的 综合性 合作 与 自治 才 是 中国 免于 重蹈 负债 过高 的 现代化 危机 的 合理 选择 "" "
120282655,经济学 原理 第 7 版 微观 经济学 分册 宏观 经济学 分册 是 目前 国内 市场 上 最 受欢迎 的 引进 版 经济学 教材 之一 其 最大 特点 是 它 的 学生 导向 它 更 多 地 强调 经济学 原理 的 应用 和 政策 分析 而 非 经济学 模型 第 7 版 在 延续 该书 一贯 风格 的 同时 对 第 6 版作 了 全面 修订 和 改进 大幅 更新 了 新闻 摘录 案例 研究 等 专栏 拓展 了 章 后 习题 
120283186,经济学 入门 佳作 暌违 多年 新版 出来 长居 美国 亚马逊 经济 类 榜首 美国 国民经济 学 读本 掌握 社会 经济运行 规律 人人 都 能看懂 的 经济学 专业 读物 ◎ 编辑 推荐 美国 芝加哥 学派 著名 经济学家 自由主义 大师 托马斯 索 维尔 自 美国 种族 简史 之后 的 又 一本 畅销 经典 美国 亚马逊 长居 榜首 的 经济学 通识 读物 美国 公民 学习 经济学 的 入门 佳作 并且 这 是 一 本人 人 都 能看懂 的 经济学 专业 读物 ◎ 内容简介 经济学 一点 也 不 复杂 也 不难理解 困扰 我们 的 是 故作 艰深 的 语言 和 拒人千里 之外 的 形式 本书 没有 让 人 望而生畏 公式 图表 也 没有 难懂 的 术语 更 没有 枯燥 的 实证 托马斯 索 维尔 用 最 贴近 日常生活 的 语言 和 案例 为 我们 讲解 经济学 博士 都 不 一定 能 完全 掌握 的 经济学 思维 方式 让 所有人 都 能 体验 毫无 障碍 的 阅读 并且 在 无形中 学会 经济学 这 一门 专业知识 体系 和 分析 工具 让 普通人 不再 受 含糊 的 政治 辞令 和 晦涩 的 经济学 术语 的 迷惑 掌握 经济社会 的 运转 规律 通过 本书 我们 将会 了解 价格 投资 和 国际贸易 等 方方面面 的 知识 也 会 对 媒体 政治家 公知 的 言论 保持 警醒 和 怀疑 不再 不 加 批判 地用 穷人 和 富人 来 区分 不同 的 人群 我们 还会 对 房租 管制 贸易 平衡 贫富差距 统计数据 产生 全新 的 认识 ◎ 媒体 推荐 本书 简洁明了 在 过去 30 年 的 经济学家 中索 维尔 的确 成就 非凡 华尔街日报 WallStreetJournal 本书 不仅 对于 普通 大众 读者 很 有 价值 而且 对于 律师 企业家 政治家 经济学家 也 都 很 有 益处 华盛顿邮报 WashingtonTimes 真是太 需要 了 任何 读过 带有 偏见 枯燥无味 的 经济学 教科书 的 人 都 应该 读读 这 本书 来 纠正 谬误 克莱蒙 特 书评 ClaremontReviewofBooks ◎ 名人 推荐 本书 是 伪装成 甜点 的 一道 健康 大餐 并且 索 维尔 还 在 不断 扩充 读者 一定 会 为此 庆幸 索 维尔 流畅 的 文笔 无懈可击 的 逻辑 渊博 的 知识 和 完美无瑕 的 经济学 无论 对 专业人士 还是 初学者 都 是 一种 享受 托马斯 黑兹 利特 ThomasHazlett 法律 与 经济学 教授 乔治 梅森 大学 信息 经济 项目 主任 每 一章 都 证明 了 为什么 索 维尔 是 美国 最 伟大 的 思想家 之一 如果 想 知道 经济学 是 如何 掌控 我们 日常生活 中 如此 多 的 事情 本书 是 必读书 亚瑟 C 布鲁克斯 ArthurCBrooks 美国 企业 研究院 院长 战争 自由 企业 与 大 政府 之间 的 斗争 将 塑造 美国 未来 TheBattleHowtheFightBetweenFreeEnterpriseandBigGovernmentWillShapeAmericasFutur _ e 作者 本书 证明 了 索 维尔 教授 能够 让 一个 从未 踏进 经济学 课堂 的 人 理解 经济学 这 本书 里 有 大量 日常 经济学 问题 的 案例 与 详尽 解释 沃尔特 E 威廉姆斯 WalterEWilliams 乔治 梅森 大学 特聘 经济学 教授 经济学 的 既定 事实 常使 许多 人 大惑不解 索 维尔 以 堪称 典范 的 方式 揭去 了 这些 事实 的 神秘 面纱 使 它们 变得 直观 甚至 显而易见 大卫 博阿兹 DavidBoaz 加图 研究所 高级 副所长 自由主义 导论 LibertarianismAPrimer 作者 
120284223,一部 博物 经济学 著作 它 非 学术 大部头 而 只是 生活 小 智慧 其实 经济学 正 生动 地 编织 着 生活 的 方方面面 人 身边 的 大事 小事 都 可以 用 经济学 原理 来 一一 破解 这 就是 博物 经济学 作者 罗伯特 弗兰克 教授 是 美国康奈尔大学 管理 学院 的 教授 他 喜欢 在 自己 的 课堂 上 给 学生 布置 博物 经济学 作业 让 学生 写 小 短文 提 生活 中 的 问题 并 以 经济学 的 视角 做出 回答 经过 几年 的 积累 这些 问题 被 收集 成册 就 成 了 此书 的 蓝本 在 接受 商业 周刊 采访 时 弗兰克 教授 被 问及 为什么 对 博物 经济学 情有独钟 时 他 回答 道 你 只 需 掌握 五六个 基本 的 经济学 概念 生活 中 的 所有 相关 问题 都 会 迎刃而解 就 如同 生物 进化论 只要 你 理解 了 它 什么 物种 组织 结构 都 会 变得 简单 起来 这 也 会 使 你 对 这门 学科 产生 更 浓厚 的 兴趣 在 谈到 这些 博物 经济学 问题 的 答案 时 弗兰克 教授 的 观点 显然 不同于 传统 经济学 课堂 的 要求 请 不要 急于 去 书 中 找寻 答案 这些 生活 中 的 问题 不是 公式 和 概念 它们 并 没有 标准 确切 的 答案 每个 人 都 有 可能 给出 更 多 更 合理 的 解释 虽说 不是 每 一个 人 都 是 经济学家 但 至少 我们 可以 更 积极 地去 思考 并 把 思考 用于 生活 这样 我们 每 一个 人 都 可以 成为 一名 博物 经济学家 
