id,abstract
13331,有些 人 注定 要 相聚 哪怕 一个 在 天堂 一个 在 地狱 玫瑰 监狱 现实 世界 第一 监狱 这里 关押 着 全球 最 顶尖 的 高智商 罪犯 商界 精英 政界 巨头 超级 黑客 甚至 是 核武器 专家 都 能 在 这里 找到 带领 这样 一群 人 进入 虚拟世界 会 发生 什么 事情 英雄 监狱 虚拟世界 第一 监狱 这里 关押 着 各种 强大 的 英雄 深渊 领主 堕落 天使 末日 使者 赏金 猎人 甚至 是 强大 的 神 随身带 着 这样 一座 监狱 谁 惹 了 我 我 就 放 一头 出来 其实 世界 就是 一座 监狱 想要 获得 真正 的 自由 就要 改变 世界 
44259,在 末世 未 降临 之前 的 一个月 楼殿 看 她 的 眼神 越来越 露骨 得 让 她 惊惧 人生 中 总会 发生 很多 措手不及 的 事 在 楼龄 的 措手不及 中 末世 降临 了 楼殿 教会 了 她 怎么 在 末世 生存 给 了 她 最 珍贵 的 食物 可是 从 一 开始 他 的 邪恶 用心 也 昭然若揭 在 这个 末世 贵公子 一样 的 楼殿 完完全全 将 她 禁锢 独占 成为 他 的 所有物 他 就 像 一种 会 让 人 上瘾 的 毒药 恍然 回首 时 已经 戒不掉 了 是 一个 蛇 精病 男主 与 生命力 顽强 的 妹纸 在 末世 吃吃喝喝 的 故事 = __ = ! 脱甜文 咳 此文 名原 为 末世 重生 之 绝对 毒宠 现在 更名 为 末世 重生 之 绝对 独宠表 说 咱取 的 名字 雷人 真的 是 想 
44260,与 万千 平行 位面 NBA 球星 进行 交易 艾弗森 小子 我 这 穿 花蝴蝶 步 八折 给 你 奥拉朱旺 小伙子 我 看 你 骨骼 清奇 这 梦幻 舞步 就 交给 你 了 里克 巴里 额 我 这端 尿盆 你 要 不要 不要 钱 免费 的 某 大黑 大 兄弟 啊 我 的 这些 绝技 你 买 了 也 使用 不了 倒 是 我 这 有 个 身体 方面 的 天赋 你 懂 的 
44261,理 科学 神 陈牧 目标 最高 学府 的 好 学生 却 被 系统 选中 必须 成为 英雄 联盟 的 大 魔王 群聊 号码 438301318 群 584989166 粉丝 值 执事 以上 
44262,一款 名为 万界 登陆 的 游戏 从天而降 强行 绑定 了 这颗 蔚蓝 星球 上 的 所有 人类 玩家 一个个 有血有肉 的 真实 游戏 位面 展现 在 数十亿 玩家 面前 唐修 作为 万界 登陆 游戏 华夏 区 的 一个 菜鸟 游戏 运行 了 一年 多 也 只是 武当派 的 一名 普通 道士 等级 不到 20 级 一朝 梦醒 竟 回到 了 游戏 降临 的 前一刻 
44263,韩萧 星海 骨灰级 代练 被 来自 东 zuo 方 zhe 的 神秘 力量 扔进 穿越 大军 携带 玩家 面板 变成 NPC 回到 星海 公测 之前 毅然 选择 难度 最高 的 机械系 战舰 列队 纵横 星海 星辰 机甲 夭矫 如龙 幽能 炮毁 天灭 地 还有 无边无际 的 机械 大军 静静 待 在 随身 仓库 里 一人 即 是 军团 如果 不是 玩家 出现 本书 就是 正经 严肃 的 穿越 异界 题材 作为 NPC 正常 NPC 对 玩家 功能 一应俱全 发布 任务 好感度 调节 传授 技能 为什么 会 有 选择 成为 玩家 跟随者 选项 啊 把 这项 给 我 抠掉 哦 可以 解除 的 啊 电 竞 第一 美女 只想学 技能 告辞 洒家 卖身 不 卖艺 哎 等 
44264,小混混 获得 奇遇 从此 成为 了 灵界 中 一个 奇特 的 存在 别人 练级 要 动手 打 怪 身为 奶妈 的 他 没有 攻击 技能 但 却 只 需要 制造 一些 小小的 道具 就 可以 躺 着 混 经验 操作 技巧 不行 没关系 咱 的 机关 阵 可以 困死 任何 高手 碰见 神兽 只能 跑 乱说 哥动 动脑筋 连 神兽 也 要 投降 
44265,2018 王者 荣耀 文学 大赛 征文 参赛 作品 女扮男装 女主 撩妹 双强 双 C 无虐 爽甜文 为主 电竞 为辅 男主 禁欲 制服 系电 竞颜值 王女 主星 二代 混世魔王 宇宙 无敌 大 总攻 云兮 撩妹 无数 笼获 一众 少女 心 人们 都 觉得 他 是 直 的 时云 兮 对 电 竞男神 谨墨 天天 撩 日日 撩 还 把 谨墨 给 掰 弯 了 当 所有人 知道 云兮 弯 了 都 喜闻乐见 地 庆祝 谨墨 和 云 兮 激情 四射 时云 兮 捧 着 KPL 奖杯 单膝 跪 地 对 谨墨 说 大老婆 嫁给 我谨 墨黑 着 脸 你 是 女人 应该 你 嫁 我 
44266,让 你 肝 阴阳师 让 你 花钱 抽式 神 让 你 抽 了 九十九个 犬神后 摔 手机 现在 好了吧 自己 成犬神 了 = = = = = = 赫狼 始终 觉得 自己 最终 和 一只 猫 在 一起 完全 是 阴阳师 手游 的 错 大雾 阅读 须知 1 完全 计划外 的 文 为了 我家 猫 大人 的 猫 粮 品质 我会 努力 的 2 尽量 日 更 吧 3 们 可以 自己 脑补 互相 舔 毛 绝对 纯洁 泥垢 了 4 想到 了 再 补 10 月 10 号入 V 请 支持 正版 
44267,2018 王者 荣耀 文学 大赛 参赛 作品 全 娱乐圈 电 竞圈 的 人 都 知道 乔夕 是 舟 辞 的 老婆 粉 某日 作为 KPL 金牌 中单 的 乔夕 在 赛后 接受 采访 时 表示 作为 一名 理智 的 粉丝 以及 合格 的 职业 选手 我 怎么 会 想要 跟 我 的 男神 谈恋爱 呢 我们 应该 关注 比赛 本身 远离 职业 选手 的 私生活 结果 没过几天 乔夕 就 被 火眼金睛 的 网友 扒 出来 前 一段时间 衣冠不整 的 出现 在 舟 辞 直播间 里 身上 还 穿着 他 睡衣 的 那个 神秘 女友 是 她 乔夕 一直 以为 自己 粉 的 男神 虽然 打 比赛 的 时候 凶悍 犀利 但 本人 其实 是 个 软萌 无害 的 小奶 狗 直到 某 天 夜里 她 才 发现 去 
