id,abstract
2020060600051934,自 民国 以来 书法史 著 已经 出版 不少 甚至 不乏 大部头 的 著作 但 本书 有 自己 的 特点 一 本书 作者 是 一位 长期 从事 书法 研究 并 在 书法艺术 上 颇 有 造诣 的 学者型 书法家 所以 本书 做到 了 理论 与 实践 相结合 学识 与 艺术 相结合 这 与 不 从事 书法 实践 的 纯 学者 谈 书法史 是 大不相同 的 二 本书 作者 长期 受教于 启功 先生 故 本书 也 贯穿 了 启功 先生 对于 书法艺术 的 真知灼见 三 作者 具有 在 故宫博物院 从事 书法 文献 研究 的 独特 优势 本书 不仅 搜集 了 大量 的 文献资料 也 收集 了 大量 图片 资料 图片 丰富 便于 读者 直观 了解 书法艺术 发展 脉络 四 以往 的 书法史 在 史 的 叙述 上 多 有 缺憾 相对 于 东晋 的 十六 国 时期 辽代 和 金代 的 书法 介绍 多付 阙如 本书 作者 对此 作 了 深刻 挖掘 
2020060600051935,多 民族 跨境 共享 的 格 萨斯 尔 史诗 传统 是 中外 史诗 学界 的 研究 焦点 但 史诗 演述 与其 音乐 表达 之间 的 内在 关系 和族际 比较 却 未 得到 应有 的 重视 这 便 构成 本书 的 基本 工作 方向 作者 以 口头 传统 为 方法 力图 在 目治 与 耳治 间 建立 起 走向 音乐 表达 的 理论 阐释 模型 全书 通过 对藏蒙 史诗 汉 译本 的 参互堪 比 发现 文本 间异 中 有 同 的 叙事 模式 同时 在 藏 蒙古 和 土族 史诗 音声 档案 与 田野 研究 的 交互 参证 中 提出 史诗 音乐 范式 概念 体系 从 音乐 维度 拓展 中国 史诗 学 的 理论 话语 空间 揭示 史诗 音乐 在 形塑 特定 叙事 传统 时所 呈现 的 文化 多样性 进而 窥探 史诗 叙事 演述 性 的 音乐 向度 建立 基于 口头 交流 艺术 的 认知 通则 该 著 致力于 打破 民间 文艺学 与 民族 音乐学 之间 的 学科 藩篱 在 口头 诗学 的 理 
2020060600051936,本书 在 中西文化 交流 和 激荡 的 大 背景 下 聚焦 于 中国 手工业 城市 景德镇 瓷业 社会 和 陶瓷 文化 的 变迁 首次 提出 了 瓷业 生产 的 景德镇 模式 和 陶瓷 文化 传播 交流 的 瓷 文化圈 概念 作者 对 景德镇 陶瓷 文化 做 了 概念 界定 并 从 其 变迁 的 表征 动力 以及 早期 全球化 视野 下 景德镇 陶瓷 文化 的 变迁 民国时期 新式 瓷业 生产 模式 的 引入 工业化 背景 下 景德镇 陶瓷 文化 变迁 全球化 新 阶段 景德镇 陶瓷 文化 变迁 等 方面 进行 展开 论述 进而 讨论 了 中西文化 激荡 背后 的 器物 认同 和 文化 认同 
2020060600051937,阿慧丹托 ArthurDanto19242013 是 美国 当代 十分 具有 影响力 的 艺术 哲学家 近年来 他 的 艺术 的 终结 艺术 世界 艺术 的 定义 等 思想 在 国内 引起 了 广泛 的 讨论 本书 立足 丹托 的 历史 哲学思想 较为 系统地 梳理 了 他 的 艺术 理论 的 发展 轨迹 一方面 从 艺术 世界 艺术 的 终结 意义 美学 等 方面 揭示 丹托 艺术 理论 的 建构 策略 另一方面 描绘 丹托 艺术 哲学 与 艺术 实践 的 张力 关系 以期 为 中国 当代艺术 理论 和 艺术 实践 提供 新 的 视角 
2020060600051938,本书 从 新 媒体 时代 日本 动漫 文化 全球 传播 的 现象 出发 遵循 文化 何为 传播 何在 产业 何立 的 思路 内容 生产 是 核心 动漫 文化 编从 日本 漫画 缘起 动画 溯源 以及 个案研究 切人 分析 动漫 是 什么 平台 搭建 是 关键 动漫 传播 编从 传播 话语 系统 平台 注入 受众 解析 与 效果 反馈 阐释 其 为什么 能够 实现 全球化 传播 与 二次元 用户 聚集 产业 启示 是 进路 动漫 产业 编 建立 在 对 日 美韩 三大 动漫 强国 的 解读 之后 重点 论证 中国 动漫 产业 该 怎么 做 
2020060600051939,本书 在 文化 研究 的 视域 内 遵循 表征 的 诗学 符号学 理论 与 政治学 话语 理论 两种 研究 路径 借用 了 彼得 汉密尔顿 所 使用 的 支配 性 摄影 范式 的 概念 旨在 梳理 平民 影像 与 平民 意识 在 19782016 年间 国内 纪实 摄影 中 的 流变 历程 并 尝试 回答 平民 影像 的 流变 与 转型 时期 社会 进程 的 互动关系 探讨 不同 历史 时期 的 视觉 建制 如何 影响 规约 摄影家 的 表征 实践 
2020060600051940,新 时期 民营 话剧 是 改革开放 过程 中 取得 的 一大 成果 从 上 世纪 80 年代 初至 2017 年 已 走过 30 多年 的 发展 历程 在 各级 政府 各项 方针政策 的 引导 与 扶持 下 民营 话剧 人 靠着 自己 的 闯劲儿 与 拼搏 在 话剧 市场 中闯出 了 一条 自己 的 道路 其 话剧 创作 与 演出 深受 广大观众 尤其 是 青年 观众 的 喜爱 在 走 市场 的 实践 中 不仅 在 经济效益 方面 取得 了 令人瞩目 的 成绩 而且 培养 了 大量 编剧 导演 演员 和 舞台艺术 制作 人才 已 成为 我国 舞台艺术 发展 的 重要 力量 是 繁荣 城乡 基层 文化 市场 的 生力军 本书 在 梳理 30 多年 来 民营 话剧 的 组织 形式 剧目 成就 演出 效果 观众 反映 等 资料 的 基础 上 对 其 进行 评述 
2020060600051941,考察 明代 曲家 与 佛道 文化 因缘 大抵 有 三个 类型 一则 亲佛 近道 曲家 这类 曲家 对 佛道 文化 亲近 却 不 沉迷 可谓 最大 宗者 二则 嘲佛 讽道 曲家 这类 曲家 不满 于 佛道 窳 滥 现象 其 戏曲 作品 极尽 嘲讽 之能事 三则 佞佛 崇道 曲家 这类 曲家 执着 于 飞身 丹霞 的 白日梦 其 戏曲 作品 充满 荒诞不经 的 玄色 同时 本书 还 撷取 三个 典型 群体 宫廷 曲家 僧侣 曲家 和 藩王 曲家 展开 深入分析 发现 其 戏曲 作品 具有 鲜明 的 佛道 文化 烙印 
2020060600051942,赣南 采茶 舞蹈 是 典型 的 民间艺术 是 客家 文化 的 一部分 本书 立足 客家 文化 视角 结合 赣南 的 历史 地理 民俗文化 等 特点 对 赣南 采茶 舞蹈 的 生成 原因 历史 流变 独特 载体 风格特征 演出 样式 综合 体现 等 方面 做 了 系统 的 研究 认为 继承 创新 和 普及 是 赣南 采茶 舞蹈 发展 的 基本 途径 
2020060600051943,本书 从 民间 说唱 与 古代 小说 交叉 互动 的 视角 较为 系统地 考察 了 唐五代 以来 民间 说唱 与 小说 之间 的 双向 影响 具体 地 揭示 了 说唱文学 与 小说 的 联系 与 区别 深人地 阐析 了 说唱文学 与 小说 的 一些 重要 的 文体 艺术 特征 生成 发展 和 演化 的 动因 及其 体现 的 艺术 规律 有效 地 弥补 了 说唱 与 小说 研究 的 薄弱环节 有助于 更好 地 建构 古代 说唱文学 史 与 小说史 
