id,abstract
734,前世 她 女扮男装 浴血 沙场 杀戮 漫天 助 他 称帝 只为 和 他 长相 厮守 他 淡泊名利 潜藏 野心 为 夺 帝位 他 以情 诱之 她 美人 蛇蝎 恶毒 伪善 大局 初定 她 没 了 用处 他们 联手 置 她 于 死地 他们 大婚 当日 她 在 血泊 中 立下 血咒 含恨 而亡 重生 回到 八年 前 这 一世 她 以 女子 身份 示人 斗 嫡母 惩恶 姐虐 渣 男誓 要 与 他们 与 这 赤宇 天下 纠缠 到底 不 死不休 逆天 改命 改 的 又 岂止 她 一个 人 的 命 
2006,一次 被 安排 的 意外 开启 了 透视 的 异能 背负 血海深仇 传承 家族 古老 医术 在 都市 之中 闯 出 自己 的 一片 天地 
5753,苦 逼 打工仔 钱 多多 在 暴雨 夜 被 雷电 击中 从此 身体 发生 变异 凭着 一身 绝技 该 出手 时 就 出手 风风火火 闯 九州 惹 得 各色 美女 纷至沓来 疯狂 倒 追 卧槽 这么 多 妞 我 收 还是 不 收 
5779,父亲 年迈 哥哥 姐姐 相继 出事 24 岁 的 乔家 幺 女 乔妤 临危受命 接管 风雨飘摇 的 乔氏 为了 保住 乔氏 乔妤 只好 使 尽 浑身解数 攀 上 南城 只手遮天 的 大人物 陆 南城 初见 她 美目 顾盼 流兮陆 总 您 想 睡 我 吗 后来 她 拿 着 手中 的 怀孕 化验单 嚣张 问着 他陆 总 娶 不 娶 男人 英俊 的 面容 逼近 她 黑眸 讳莫如深 这么 迫切 地想 嫁给 我 你 确定 我要 的 你 能 给 的 起 她 笑靥 如花 我 有 什么 给 不起 的 啊 嫁给 你 之后 我 乔妤 整个 人 不 就 都 是 你 的 了 吗 后来 的 后来 她 才 知道 男人 要 的 是 她 的 一颗 真心 他 是 南城 最凉 薄 寡情 的 人 可 他 却 只 为了 她 狂热 
5807,她 是夜 国有 名 的 草包 废物 他 却是 手握 重兵 的 苍王 殿下 冷漠 矜贵 权倾 当世 一夕 穿越 她 以 一种 不可 描述 的 方式 救 了 高冷 禁欲 的 冷面 枭 王 被迫 成为 人人 艳羡 的 苍 王妃 幸好 听闻 这 王爷 那里 不行 可以 躲过一劫 谁知 婚后 却 夜夜 都 被 推倒 小医妃 咬牙切齿 谁 说 苍王 殿下 不能 人道 的 她 都 快死了 好 嘛 王爷 麻烦 请 自重 
5891,第一次 见面 辛 清灵 强势 偷吻 霍启睿 第二次 见面 辛 清灵 抱 着 霍启睿 又 亲 又 啃 第三次 见面 就 被 绑架 了 好心 救出 一起 被绑 的 萌娃 萌娃 竟然 手 捧 玫瑰 向 她 跪 地 求婚 被 求婚 不要紧 可 为什么 萌娃 竟然 是 霍启睿 的 儿子 霍启睿 霍锦礼 你 死 了 这 条心 吧 她 只能 嫁给 我 霍锦礼 无耻 的 粑 粑 
5993,大杂烩 式 的 好莱坞 大亨 崛起 史脑 补 众多 请勿 与 现实 挂钩 本书 没有 风格 目标 是从 1988 写到 2008 时间跨度 二十年 每年 平均 写 shui30 万字 现在 看来 这个 数字 至少 翻倍 因为 截至 目前 才 写 一年 扑克牌 计划 已经 启动 一个 都 不放过 你们 懂得 最后 求 订阅 
7538,蒋小秋 勤勤恳恳 了 十几年 换来 的 却是 无尽 的 欺骗 和 压榨 死得 毫无 尊严 如今 她 回来 了 曾经 负 她 的 所有人 再也 别想 从 她 身上 得到 一丝 好处 脱离 一家子 极品 靠 一双 巧手 发家致富 却 不想 却 被 一个 小 瘸子 给 勾住 了 魂 瘸 就 瘸 吧 蒋小秋 想护 着 自己 的 瘸子 小 丈夫 安心 过日子 可 谁 知道 她 的 小 瘸子 突然 摇身一变 成 了 高高在上 的 当朝 首辅 不仅 不 瘸 了 还 整天 生龙活虎 的 要 跟 她 生娃娃 
9276,最 热门 新书 他 是 赫赫有名 的 战争 机器 让 地下 世界 闻风丧胆 的 死神 因 一场 事故 回归 都市 跟 冰山 女 总裁 订立 有名无实 的 婚姻 这是 一个 无耻 小 男人 征服 一个 冰山 女 总裁 跟 一群 美女 的 故事 叶雄 语录 哥 这么 无耻 会 不会 下 地狱 读者群 568992156 欢迎 进群 
9277,秦始皇 的 棺材 叫做 龙 棺 本来 所有 抬龙 棺 的 人 都 该 被 殉葬 但是 我 的 先祖 他 竟然 逃 了 出来 长生不老 药 真的 是 只是 一个 传说 吗 那么 徐福 东渡 之后 又 去 了 哪里 我 的 先祖 就是 唯一 知道 秦始皇陵 秘密 的 人 欢迎 一起 进入 抬棺 人 的 世界 我 将 告诉 你们 一个 颠覆 认知 的 秘密 
